Patente|Pedimento|SeccionAduanera|RfcTransportista|CurpTransportista|NombreTransportista|PaisTransporte|IdentificadorTransporte|FechaPagoReal
1680|6011260|240|||FURGON|MEX|WRWK405685|2026-01-22 18:35:09|
1680|6024624|240|||CAJA|MEX|550007|2026-01-20 18:31:03|
1680|6011239|240|||FURGON|MEX|TTGX696406|2026-01-15 18:33:17|
1669|5023789|430|||MAERSK FELIXSTOWE|PAN|1963/2025|2026-01-08 14:57:00|
3147|5023950|650|||FEDEX|USA|FEDEX|2026-01-07 08:40:01|
1680|6024605|240|||CAJA|MEX|W86587|2026-01-14 12:48:04|
1669|6900415|510|||PROMETHEUS LEADER|SGP|PROMETHEUSLEADER|2026-01-21 13:38:01|
1669|5023762|430|||MORNING LUCY|PAN|S/R|2026-01-08 17:54:00|
1669|6900631|430|||MAERSK FELIXSTOWE|PAN|1963/2025|2026-01-13 11:45:01|
1680|6011280|240|||FURGON|MEX|TTGX705450|2026-01-30 18:41:08|
1680|6024634|240|||CAJA|MEX|550005|2026-01-23 19:33:04|
1680|6011269|240|||FURGON|MEX|TTGX952808|2026-01-26 18:30:08|
1680|6011249|240|||FURGON|MEX|TTGX953268|2026-01-19 16:27:06|
1669|5022897|430|||CHENNAI EXPRESS|LBR|1828/2025|2026-01-08 11:20:00|
1680|6024625|240|||CAJA|MEX|550016|2026-01-21 14:02:05|
1680|6024627|240|||CAJA|MEX|73|2026-01-22 16:26:04|
1680|6011231|240|||FURGON|MEX|TTGX698802|2026-01-12 18:09:08|
1680|6024641|240|||CAJA|MEX|124|2026-01-28 12:37:04|
1680|6011262|240|||FURGON|MEX|TTGX941598|2026-01-22 18:35:11|
1680|6024620|240|||CAJA|MEX|39|2026-01-19 12:43:04|
1669|5007004|810|||GSL MARIA|LBR|S/N|2026-01-08 12:23:03|
1680|6011279|240|||FURGON|MEX|TTGX967096|2026-01-30 18:41:07|
1680|6011283|240|||NODRIZA|MEX|TM2530|2026-01-30 17:53:04|
1680|6024617|240|||CAJA|MEX|553929|2026-01-16 16:16:08|
1680|6011232|240|||FURGON|MEX|GTW504276|2026-01-12 18:09:09|
1669|6900440|510|||LAKE GENEVA|LBR|LAKEGENEVA|2026-01-28 15:44:01|
1680|6011267|240|||NODRIZA|MEX|TM2541|2026-01-23 16:59:08|
1680|6024622|240|||CAJA|MEX|S243|2026-01-19 13:37:03|
1669|5023619|430|||MAERSK FELIXSTOWE|PAN|1963/2025|2026-01-08 15:21:01|
1669|5023790|430|||MAERSK FELIXSTOWE|PAN|1963/2025|2026-01-08 16:21:00|
1680|6024629|240|||CAJA|MEX|550027|2026-01-21 14:04:04|
1680|6024626|240|||CAJA|MEX|559908|2026-01-21 14:03:02|
1680|6011228|240|||FURGON|MEX|TTGX953844|2026-01-09 19:07:11|
1680|6011229|240|||FURGON|MEX|TTGX990853|2026-01-09 19:07:12|
1669|5007004|810|||GSL TEGEA|LBR|S/N|2026-01-08 12:23:03|
3569|5000186|120|||CHIAPASSTAR|MEX|CHIAPASSTAR|2026-01-05 09:31:02|
1680|6024640|240|||CAJA|MEX|551394|2026-01-28 12:35:14|
1680|6011234|240|||FURGON|MEX|TTGX704815|2026-01-14 18:07:08|
1680|6024612|240|||CAJA|MEX|S237|2026-01-15 18:47:07|
1680|6024630|240|||CAJA|MEX|126|2026-01-23 18:46:02|
1680|6024616|240|||CAJA|MEX|14|2026-01-16 16:34:11|
1869|6000052|180|||PACIFICCALM|PAN|PACIFICCALM|2026-01-27 16:41:01|
1680|6011247|240|||FURGON|MEX|TTGX702291|2026-01-19 16:27:06|
1680|6024614|240|||CAJA|MEX|W37316|2026-01-15 18:49:04|
1669|5003141|510|||MSC MARIA CLARA|LBR|MSCMARIACLARA|2026-01-07 13:43:01|
1680|6011241|240|||FURGON|MEX|TTGX702602|2026-01-16 18:26:13|
1680|6024638|240|||CAJA|MEX|53182|2026-01-28 12:34:07|
3147|5009554|521|||DHL|USA|DHL|2026-01-08 18:36:01|
1680|6011258|240|||FURGON|MEX|CTTX694115|2026-01-21 18:27:09|
1680|6011251|240|||NODRIZA|MEX|TM2114|2026-01-20 17:55:02|
3147|5009552|521|||DHL|USA|DHL|2026-01-08 19:13:00|
3147|5009514|521|||FEDEX|USA|FEDEX|2026-01-08 18:32:02|
1669|6900407|510|||GLOVIS CRYSTAL|KOR|GLOVISCRYSTAL|2026-01-13 10:53:02|
1680|6011274|240|||NODRIZA|MEX|TM2441|2026-01-28 17:59:01|
1680|6011259|240|||FURGON|MEX|TTGX983633|2026-01-22 18:35:09|
1669|5022895|430|||CAPE PIONEER|CYP|1826/2025|2026-01-07 10:06:00|
1669|6900377|510|||GLOVIS TITAN|PAN|GLOVISTITAN|2026-01-05 15:03:01|
1680|6011255|240|||FURGON|MEX|TTGX705764|2026-01-20 18:30:10|
1680|6011265|240|||NODRIZA|MEX|TM2420|2026-01-23 16:59:05|
1869|6000035|180|||DEJIMACONFIDENCE|PRT|DEJIMACONFIDENCE|2026-01-21 16:02:00|
1669|5007004|810|||HUBERT SCHULTE|SGP|S/N|2026-01-08 12:23:03|
1680|6011227|240|||FURGON|MEX|BNSF303024|2026-01-09 19:07:08|
1669|5022897|430|||PANAMA EXPRESS|MHL|1893/2025|2026-01-08 11:20:00|
1669|5023619|430|||GSL MARIA|LBR|1851/2025|2026-01-08 15:21:01|
1680|6024636|240|||CAJA|MEX|96619|2026-01-26 18:29:01|
1680|6024613|240|||CAJA|MEX|S299|2026-01-15 18:48:10|
1680|6011272|240|||NODRIZA|MEX|TM2414|2026-01-26 18:32:03|
1680|6024603|240|||CAJA|MEX|BC1601|2026-01-14 12:48:03|
1669|5022897|430|||MEXICO EXPRESS|MHL|1973/2025|2026-01-08 11:20:00|
1680|6011261|240|||FURGON|MEX|TTGX986709|2026-01-22 18:35:10|
3147|6001384|470|TFU050519AV8|GALV680829HSRMNC04|TRANSPORTES FUGARI S.A DE C.V|MEX|378WU3|2026-01-23 12:01:01|
