Patente|Pedimento|SeccionAduanera|NumeroGuia|TipoGuia|FechaPagoReal
1680|6011261|240|000006117917|M|2026-01-22 18:35:10|
1680|6011271|240|000006120181|M|2026-01-23 18:46:04|
1680|6011233|240|000006100337|M|2026-01-14 18:07:07|
1669|6900370|510|HDGLCNMX0655062A|M|2026-01-03 09:35:00|
3147|6001405|470|7925360973|H|2026-01-27 13:43:02|
1869|6000052|180|E77014MIZ011|M|2026-01-27 16:41:01|
1680|6011228|240|000006093255|M|2026-01-09 19:07:11|
1680|6011280|240|000006128415|M|2026-01-30 18:41:08|
1680|6011259|240|000006116319|M|2026-01-22 18:35:09|
1680|6000846|800|000006054364|M|2026-01-16 14:49:00|
1669|6004061|430|S328738901|M|2026-01-30 16:55:04|
3147|6001405|470|6529380325|H|2026-01-27 13:43:02|
1669|6900415|510|NYKS280109101|M|2026-01-21 13:38:01|
1680|6011243|240|000006107698|M|2026-01-16 18:26:15|
1680|6011260|240|000006117865|M|2026-01-22 18:35:09|
1680|6011278|240|000006128413|M|2026-01-30 18:41:06|
3147|6001405|470|489-62029170|M|2026-01-27 13:43:02|
1669|6000815|510|HDGLCNMX0655062|M|2026-01-31 11:06:01|
1680|6011262|240|000006118045|M|2026-01-22 18:35:11|
1680|6000846|800|000006051602|M|2026-01-16 14:49:00|
3147|6001405|470|1545826144|H|2026-01-27 13:43:02|
3147|6001405|470|489-62026856|M|2026-01-27 13:43:02|
1669|6900410|430|S328624682|M|2026-01-08 11:51:01|
1669|6900440|510|HDGLCNMX0649553D|M|2026-01-28 15:44:01|
1680|6011222|240|000006093252|M|2026-01-09 19:07:05|
1869|6000029|180|KKLUMIZ00785|M|2026-01-12 13:04:01|
1680|6011286|240|000006131701|M|2026-01-31 14:41:03|
3147|6001405|470|489-62027700|M|2026-01-27 13:43:02|
1680|6011232|240|000006098782|M|2026-01-12 18:09:09|
1669|6900407|510|HDGLCNMX0655062D|M|2026-01-13 10:53:02|
3147|6001405|470|2561568052|H|2026-01-27 13:43:02|
3147|6001405|470|7739443784|H|2026-01-27 13:43:02|
1669|6000815|510|HDGLCNMX0657370|M|2026-01-31 11:06:01|
3147|6001405|470|8279770660|H|2026-01-27 13:43:02|
1680|6011253|240|000006102994|M|2026-01-20 18:30:09|
1680|6000846|800|000006051601|M|2026-01-16 14:49:00|
3147|6001405|470|2538642632|H|2026-01-27 13:43:02|
1669|6000815|510|HDGLCNMX0657370A|M|2026-01-31 11:06:01|
1869|6000036|180|WYGSKMD2524302|M|2026-01-21 16:06:00|
1680|6011248|240|000006108811|M|2026-01-17 12:44:03|
1680|6011224|240|000006096941|M|2026-01-09 19:07:07|
1680|6011284|240|000006131702|M|2026-01-31 14:41:02|
3147|6001405|470|489-62028190|M|2026-01-27 13:43:02|
1669|6900371|510|NYKS280108415|M|2026-01-05 14:57:00|
1680|6000846|800|000006051630|M|2026-01-16 14:49:00|
1680|6011242|240|000006104819|M|2026-01-16 18:26:14|
1680|6011239|240|000006106600|M|2026-01-15 18:33:17|
3147|6001405|470|489-62027814|M|2026-01-27 13:43:02|
3147|6001405|470|2365991456|H|2026-01-27 13:43:02|
1680|6011249|240|000006109588|M|2026-01-19 16:27:06|
1680|6011269|240|000006119993|M|2026-01-26 18:30:08|
1680|6000846|800|000006051596|M|2026-01-16 14:49:00|
1680|6011254|240|000006113865|M|2026-01-20 18:30:09|
3147|6001405|470|9027428550|H|2026-01-27 13:43:02|
3147|6001405|470|489-62029041|M|2026-01-27 13:43:02|
1680|6011229|240|000006097004|M|2026-01-09 19:07:12|
1669|6900377|510|HDGLCNMX0655062C|M|2026-01-05 15:03:01|
1680|6011255|240|000006113905|M|2026-01-20 18:30:10|
1869|6000029|180|KKLUMIZ00777|M|2026-01-12 13:04:01|
1680|6011235|240|000006100338|M|2026-01-14 18:07:09|
3147|6001405|470|489-62027070|M|2026-01-27 13:43:02|
1680|6011230|240|000006097932|M|2026-01-12 18:09:08|
1680|6011223|240|000006094752|M|2026-01-09 19:07:05|
1669|6900345|430|S328420825|M|2026-01-03 11:03:02|
1680|6011252|240|000006112724|M|2026-01-20 18:30:08|
1680|6011247|240|000006108808|M|2026-01-19 16:27:06|
1680|6011244|240|000006107790|M|2026-01-16 18:26:15|
1680|6011287|240|000006131703|M|2026-01-31 14:44:01|
1680|6011246|240|000006107816|M|2026-01-16 18:26:17|
1680|6011226|240|000006093254|M|2026-01-09 19:07:08|
1680|6011241|240|000006097902|M|2026-01-16 18:26:13|
1680|6011231|240|000006099326|M|2026-01-12 18:09:08|
1680|6011237|240|000006104671|M|2026-01-15 18:33:13|
1680|6011270|240|000006119994|M|2026-01-23 18:46:04|
1680|6011234|240|000006097933|M|2026-01-14 18:07:08|
1680|6011238|240|000006094751|M|2026-01-15 18:33:15|
3147|6001405|470|489-62028433|M|2026-01-27 13:43:02|
1669|6900370|510|HDGLCNMX0653710B|M|2026-01-03 09:35:00|
1869|6000030|180|KKLUMIZ00776|M|2026-01-30 11:04:00|
1669|6900410|510|HDGLCNMX0649553|M|2026-01-15 15:58:03|
1680|6011240|240|000006106579|M|2026-01-15 18:33:18|
3147|6001405|470|489-62027335|M|2026-01-27 13:43:02|
1669|6900409|510|HDGLCNMX0652351|M|2026-01-16 11:13:01|
3147|6001405|470|489-62029391|M|2026-01-27 13:43:02|
1680|6011227|240|000006097003|M|2026-01-09 19:07:08|
1669|6900408|510|HDGLCNMX0655062B|M|2026-01-19 13:28:02|
1680|6011285|240|000006131704|M|2026-01-31 14:41:02|
1680|6011225|240|000006093253|M|2026-01-09 19:07:07|
1669|6900410|510|HDGLCNMX0652349|M|2026-01-15 15:58:03|
1680|6011273|240|000006124999|M|2026-01-27 18:27:08|
1669|6007883|430|HOEGAS83DUXV0001|M|2026-01-19 14:05:01|
1869|6000035|180|WYGSKMD2524301|M|2026-01-21 16:02:00|
3147|6001405|470|1788084804|H|2026-01-27 13:43:02|
1680|6011236|240|000006104616|M|2026-01-15 18:33:10|
1680|6011279|240|000006128414|M|2026-01-30 18:41:07|
1669|6900408|510|HDGLCNMX0653710|M|2026-01-19 13:28:02|
1669|6003628|430|S328397810|M|2026-01-21 13:11:03|
3147|6001405|470|6878331714|H|2026-01-27 13:43:02|
1680|6011257|240|000006113974|M|2026-01-21 18:27:08|
1680|6011258|240|000006116035|M|2026-01-21 18:27:09|
1669|6900345|430|S328524374|M|2026-01-03 11:03:02|
3147|6001405|470|489-62029284|M|2026-01-27 13:43:02|
3147|6001405|470|5838189431|H|2026-01-27 13:43:02|
