Patente|Pedimento|SeccionAduanera|NumContenedor|TipoContenedor|FechaPagoReal
1680|5083929|240|TCZU643992|22|2026-01-19 09:16:02|
1680|5035180|800|53611|56|2026-01-19 16:02:02|
1680|5000912|240|UMXU248488|22|2026-01-14 12:06:02|
1680|5000912|240|170402|56|2026-01-14 12:06:02|
1680|5035190|800|52309|56|2026-01-08 15:55:01|
1680|5035180|800|E822043|56|2026-01-19 16:02:02|
1680|5001378|270|UMXU935213|63|2026-01-08 18:09:02|
3129|5026337|240|LF-5407|56|2026-01-14 09:03:03|
1680|5018471|800|118|60|2026-01-08 15:33:12|
1680|5001378|270|UMXU896760|63|2026-01-08 18:09:02|
1680|5083929|240|UMXU235332|22|2026-01-19 09:16:02|
1680|5087442|240|MNLU234955|22|2026-01-23 11:10:08|
1680|5000912|240|213|56|2026-01-14 12:06:02|
1680|5083929|240|UMXU895129|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU891555|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU232892|22|2026-01-19 09:16:02|
1680|5083929|240|UMXU234579|22|2026-01-19 09:16:02|
1669|5003141|510|MSMU4003318|3|2026-01-07 13:43:01|
1680|5000912|240|UMXU933998|22|2026-01-14 12:06:02|
1680|5036308|240|F660|60|2026-01-02 16:20:09|
1680|5001378|270|UMXU233467|63|2026-01-08 18:09:02|
1680|5083929|240|UMXU937265|22|2026-01-19 09:16:02|
1680|5035180|800|UMXU247425|22|2026-01-19 16:02:02|
1680|5083929|240|UMXU246103|22|2026-01-19 09:16:02|
1680|5035180|800|67BJ2M|68|2026-01-19 16:02:02|
1680|5001378|270|UMXU888178|63|2026-01-08 18:09:02|
1680|5083929|240|UMXU233505|22|2026-01-19 09:16:02|
1680|5036308|240|P48144|60|2026-01-02 16:20:09|
1680|5000912|240|382|56|2026-01-14 12:06:02|
1680|5000912|240|53611|56|2026-01-14 12:06:02|
1669|5003243|510|TGBU5799702|3|2026-01-07 17:18:01|
1680|5035180|800|161857|56|2026-01-19 16:02:02|
1680|5083929|240|UMXU235641|22|2026-01-19 09:16:02|
1680|6011269|240|TTGX952808|63|2026-01-26 18:30:08|
