Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
1669|6000815|510||COVE267XKET01|FOB| ||| | |38-0549190|FORD TRADING COMPANY LLC||||||2026-01-31 11:06:01|
3147|6001761|470||COVE267XFRPG1|FCA| ||| | |FR39842985202|VITESCO TECHNOLOGIES FRANCE SAS||||||2026-01-30 17:29:02|
3147|6001761|470||COVE267XFRPO4|FCA| ||| | |310114679379765|APTIV ELECTRICAL CENTERS (SHANGHAI) CO., LTD.||||||2026-01-30 17:29:02|
1680|6011266|240||COVE267XBYEK2|DAP| ||| | |380549190|FORD MOTOR COMPANY||||||2026-01-23 16:59:07|
3147|6001761|470||COVE267XFRP98|EXW| ||| | |0215556002485|VISTEON AUTOMOTIVE ELECTRONICS (THAILAND) LTD||||||2026-01-30 17:29:02|
1680|5005483|230|2025-12-07|COVE257V35U22|FOB|USD|254734.38|254734.38|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
3949|5004822|160|2025-12-02|COVE257UTN4T6|DAP|CNY|48821.05|345391.20|CHN| |91320583071078833|PGI AUTO COMPONENTS KUNSHAN CO LTD|99 TANGJING ROAD DIANSHAN LAKE TOWN, JIANGSU PROVIDENCE||S/N|215345|KUNSHAN|2026-01-08 18:28:07|
1680|5005483|230|2025-12-09|COVE257V68BZ2|FOB|USD|256840.08|256840.08|MEX| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 17:36:00|
1680|6000821|800||COVE257SMLZG5|DAP| ||| | |83-3043953|EWIE CO.||||||2026-01-07 16:47:01|
3949|5060538|071|2025-12-10|COVE257VA3EO1|FCA|USD|37762.22|37762.22|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-06 14:21:01|
1680|5005525|230|2025-12-23|COVE257VX2EJ8|FCA|CAD|165226.44|230344.97|USA| |38-0549190|FORD MOTOR COMPANY|ONE AMERICAN ROAD||S/N|48126|DEARBORN|2026-01-08 13:06:00|
3147|6001761|470||COVE267XFRPJ1|FCA| ||| | |581943819|HOTTINGER BRUEL & KJAER INC.||||||2026-01-30 17:29:02|
1680|6000844|800||COVE257UQ4SG8|DAP| ||| | |873972693|CLIFFS STEEL INC.||||||2026-01-21 15:46:01|
1680|6000848|800||COVE257UU0BN3|DAP| ||| | |873972693|CLIFFS STEEL INC.||||||2026-01-21 15:15:02|
1669|6001813|810||COVE257W0M5P3|DAP| ||| | |SE556313793301|SSAB EMEA AB||||||2026-01-30 11:25:01|
