Patente|Pedimento|SeccionAduanera|TipoFecha|FechaOperacion|FechaValidacionPagoR
1680|5000952|240|2|2026-01-09|2026-01-09 17:43:16|
3147|5000017|521|5|2025-12-22|2026-01-08 17:48:00|
1680|6002475|800|3|2026-01-21|2026-01-21 15:15:07|
1680|6011234|240|2|2026-01-14|2026-01-14 18:07:08|
1680|5000423|230|5|2025-12-31|2026-01-05 16:21:01|
1680|6002885|240|2|2024-06-06|2026-01-14 17:45:08|
1669|5007004|810|2|2026-01-08|2026-01-08 12:23:03|
1680|5031256|800|2|2026-01-09|2026-01-09 15:39:00|
1680|6011274|240|1|2026-01-28|2026-01-28 17:59:01|
3949|5060544|071|2|2026-01-08|2026-01-08 19:55:03|
1669|6001813|810|3|2026-01-30|2026-01-30 11:25:01|
1669|6900631|430|2|2026-01-08|2026-01-13 11:45:01|
3949|6032961|160|1|2026-01-05|2026-01-21 17:33:06|
3147|5024442|650|5|2025-12-30|2026-01-08 17:42:00|
1680|6011253|240|2|2026-01-20|2026-01-20 18:30:09|
1680|6000850|800|3|2026-01-14|2026-01-14 13:22:01|
3949|5004813|160|2|2026-01-08|2026-01-08 09:37:01|
1669|5023109|430|5|2025-12-31|2026-01-02 16:46:00|
1680|6002453|800|3|2026-01-14|2026-01-14 13:24:03|
1680|6011275|240|1|2026-01-28|2026-01-28 18:10:03|
3147|5005832|850|1|2025-12-19|2026-01-08 22:33:03|
1680|5005478|230|2|2026-01-07|2026-01-07 12:19:01|
3949|5060523|071|2|2026-01-08|2026-01-08 12:49:05|
1680|6024622|240|2|2026-01-19|2026-01-19 13:37:03|
3949|6610001|670|2|2026-01-08|2026-01-08 19:41:01|
1733|6003771|640|2|2026-01-29|2026-01-29 17:47:02|
1680|5092175|240|2|2026-01-07|2026-01-07 10:05:03|
1680|5034296|800|5|2025-12-10|2026-01-05 15:26:03|
1680|6000848|800|3|2026-01-21|2026-01-21 15:15:02|
3949|5003053|672|2|2026-01-08|2026-01-08 12:27:00|
1680|6024614|240|1|2026-01-15|2026-01-15 18:49:04|
1680|6001003|230|3|2026-01-19|2026-01-19 11:13:01|
1669|5022896|430|1|2025-12-02|2026-01-08 18:10:01|
1680|6002457|800|2|2026-01-14|2026-01-14 13:24:04|
3569|5027459|232|2|2026-01-06|2026-01-06 11:29:00|
1680|5031262|800|1|2025-12-01|2026-01-09 16:39:03|
1680|6002488|800|2|2026-01-21|2026-01-21 15:34:01|
1680|6011238|240|1|2026-01-15|2026-01-15 18:33:15|
1680|6024636|240|2|2026-01-26|2026-01-26 18:29:01|
1680|5035194|800|5|2025-12-04|2026-01-06 16:20:02|
1669|5023940|430|5|2025-12-20|2026-01-09 11:04:00|
1680|5050308|800|2|2026-01-08|2026-01-08 15:15:02|
1680|6002466|800|2|2026-01-21|2026-01-21 15:15:02|
1680|5031295|800|1|2025-12-01|2026-01-09 15:43:02|
1680|6002476|800|2|2026-01-16|2026-01-16 14:55:03|
3147|5023952|650|1|2025-12-02|2026-01-08 14:52:01|
1680|6000838|800|3|2026-01-13|2026-01-13 12:04:00|
3949|5000635|670|2|2026-01-12|2026-01-12 10:16:01|
3147|6001323|470|3|2026-01-21|2026-01-21 18:03:01|
1680|6011285|240|2|2026-01-31|2026-01-31 14:41:02|
3147|6001295|470|3|2026-01-21|2026-01-21 11:53:01|
1680|5000277|230|2|2026-01-08|2026-01-08 13:14:01|
3949|5104866|071|2|2026-01-06|2026-01-06 15:39:04|
1680|5031295|800|2|2026-01-09|2026-01-09 15:43:02|
3147|5037998|470|1|2025-12-05|2026-01-09 20:12:00|
1680|6002513|800|3|2026-01-30|2026-01-30 12:51:00|
1680|6011244|240|2|2026-01-16|2026-01-16 18:26:15|
1680|6024606|240|1|2026-01-14|2026-01-14 20:36:01|
1680|5000278|230|2|2026-01-07|2026-01-07 13:43:00|
3949|5000179|672|5|2025-12-31|2026-01-06 15:00:00|
3376|6001547|240|2|2025-12-31|2026-01-16 10:05:08|
1680|5092188|240|1|2025-12-05|2026-01-08 11:24:02|
1680|6011230|240|1|2026-01-12|2026-01-12 18:09:08|
3147|6001010|650|3|2026-01-13|2026-01-13 12:35:01|
1680|6011232|240|2|2026-01-12|2026-01-12 18:09:09|
1669|5000220|810|2|2026-01-08|2026-01-08 15:19:05|
1680|6011250|240|1|2026-01-20|2026-01-27 17:56:05|
3147|5038700|470|2|2026-01-08|2026-01-08 18:40:01|
