Patente|Pedimento|SeccionAduanera|ClaveContribucion|TasaContribucion|TipoTasa|TipoPedimento|FechaPagoReal
1669|5023789|430|15|330.00000|2|1|2026-01-08 14:57:00|
1680|6011273|240|15|330.00000|2|1|2026-01-27 18:27:08|
1680|6024633|240|1|8.00000|7|1|2026-01-23 18:49:01|
1680|5092193|240|23|16.00000|1|1|2026-01-09 14:53:03|
3949|5060520|070|15|330.00000|2|1|2026-01-02 18:23:00|
1680|5031297|800|15|330.00000|2|1|2026-01-09 15:43:03|
1680|5092190|240|23|16.00000|1|1|2026-01-09 12:43:04|
1680|6011278|240|15|330.00000|2|1|2026-01-30 18:41:06|
3949|5000172|672|23|16.00000|1|1|2026-01-07 13:21:01|
3569|5000186|120|23|16.00000|1|1|2026-01-05 09:31:02|
1680|5000277|230|15|330.00000|2|1|2026-01-08 13:14:01|
1680|5092148|240|15|330.00000|2|1|2026-01-07 10:08:01|
1680|6024613|240|23|16.00000|1|1|2026-01-15 18:48:10|
1680|6000824|800|1|8.00000|7|1|2026-01-30 14:26:01|
1680|5005484|230|23|16.00000|1|1|2026-01-06 17:08:00|
3147|5038647|470|15|330.00000|2|1|2026-01-09 13:39:01|
1680|5070756|240|23|16.00000|1|1|2026-01-07 15:02:02|
1680|6024637|240|15|330.00000|2|1|2026-01-26 18:30:02|
1680|6024623|240|1|8.00000|7|1|2026-01-20 10:51:07|
1669|5000031|510|23|16.00000|1|1|2026-01-08 09:37:00|
3147|5038699|470|15|330.00000|2|1|2026-01-08 18:39:00|
1669|5023619|430|15|330.00000|2|1|2026-01-08 15:21:01|
1680|5005525|230|1|8.00000|7|1|2026-01-08 13:06:00|
1669|6900631|430|23|16.00000|1|2|2026-01-13 11:45:01|
1669|6900410|510|23|16.00000|1|2|2026-01-15 15:58:03|
1680|5031259|800|23|16.00000|1|1|2026-01-15 12:06:03|
1680|5000279|230|23|16.00000|1|1|2026-01-08 13:14:00|
1680|5005478|230|15|330.00000|2|1|2026-01-07 12:19:01|
3949|5104883|071|15|330.00000|2|1|2026-01-09 10:46:01|
1669|6007883|430|23|16.00000|1|1|2026-01-19 14:05:01|
1680|5092172|240|23|16.00000|1|1|2026-01-05 13:16:03|
3376|6001547|240|15|290.00000|2|2|2026-01-16 10:05:08|
1680|5000827|240|1|8.00000|7|1|2026-01-27 11:36:02|
1669|5000230|810|1|462.00000|4|1|2026-01-05 14:12:00|
3949|5104839|071|15|330.00000|2|1|2026-01-06 09:12:01|
3949|5060525|071|15|330.00000|2|1|2026-01-07 15:09:01|
1680|5000866|240|1|8.00000|7|1|2026-01-27 17:59:02|
3147|5038333|470|15|330.00000|2|1|2026-01-08 18:46:01|
1869|6000035|180|23|16.00000|1|1|2026-01-21 16:02:00|
3949|5060558|071|15|330.00000|2|1|2026-01-09 16:59:03|
1669|5000233|810|15|330.00000|2|1|2026-01-05 15:55:01|
1680|5031262|800|1|8.00000|7|1|2026-01-09 16:39:03|
1680|5031252|800|23|16.00000|1|1|2026-01-28 12:58:01|
1680|5092193|240|15|330.00000|2|1|2026-01-09 14:53:03|
3949|5004811|160|15|330.00000|2|1|2026-01-08 14:47:02|
3949|5104866|071|1|8.00000|7|1|2026-01-06 15:39:04|
3147|6001010|650|1|462.00000|4|1|2026-01-13 12:35:01|
1669|6900410|510|1|8.00000|7|2|2026-01-15 15:58:03|
3147|5009246|521|23|16.00000|1|1|2026-01-08 18:30:01|
3147|5005618|850|15|330.00000|2|1|2026-01-08 16:58:05|
3949|5000727|672|15|330.00000|2|1|2026-01-06 15:56:01|
3949|5003051|672|1|8.00000|7|1|2026-01-02 19:40:01|
1680|5031296|800|15|330.00000|2|1|2026-01-09 15:43:03|
1680|5031251|800|15|330.00000|2|1|2026-01-12 17:03:03|
1680|5031283|800|1|8.00000|7|1|2026-01-14 13:30:01|
1680|5000912|240|1|8.00000|7|1|2026-01-14 12:06:02|
1680|6024631|240|15|330.00000|2|1|2026-01-23 18:47:02|
3949|5060546|071|23|16.00000|1|1|2026-01-08 18:03:01|
1680|6011221|240|15|290.00000|2|2|2026-01-03 13:19:02|
3949|5000067|480|1|462.00000|4|1|2026-01-08 18:38:03|
1680|5035191|800|1|462.00000|4|1|2026-01-08 17:13:00|
1669|5023883|430|23|16.00000|1|1|2026-01-05 16:50:01|
3949|5000636|672|15|330.00000|2|1|2026-01-02 21:15:01|
1680|5031275|800|1|8.00000|7|1|2026-01-08 16:47:00|
1669|6900408|510|15|330.00000|2|1|2026-01-19 13:28:02|
