Patente|Pedimento|SeccionAduanera|SecuenciaObservacion|Observaciones|TipoPedimento|FechaValidacionPagoR
1680|6024632|240|1|PLANTA:02007 FCSD / REFACCIONESFACTOR INCREMENTABLE SEGUROS: 0.00004|1|2026-01-23 18:48:02|
1680|6000848|800|1|NACIONALIZACION DEL PEDIMENTO F2: 26 24 1680 5092147EXTRACCION DE MERCANCIAS EN DEPOSITO FISCAL PARA IMPORTARSE DEFINITI|1|2026-01-21 15:15:02|
1680|6000848|800|3|RACION ADUANERA VIGENTE DENTRO DEL APARTADO DEPOSITO FISCAL PARA LA INDUSTRIA AUTOMOTRIZ TERMINAL O MANUFACTURERA DE VEH|1|2026-01-21 15:15:02|
1869|6000030|180|2|A EL DESPACHO ADUANERO DE ROLLOS DE LAMINA CON COPIA SIMPLE Y DE CONFORMIDAD CON LA REGLA 3.1.21. DE LAS REGLAS DE CARAC|1|2026-01-30 11:04:00|
3147|6001325|470|4|ORMIDAD CON EL ART.120 FRACCION I DE LA LEY ADUANERA Y EN TERMINOS DEL NUMERAL 4.3.2.10 DEL APARTADO DEPOSITO FISCAL PAR|1|2026-01-21 17:57:01|
1669|6900440|510|4|APLICAR LAS UNIDADES ADMINISTRATIVAS REGIONALES ADSCRITAS A LA MISMA DEL MANUAL DE OPERACION ADUANERA EN VIGOR.LA PRESEN|2|2026-01-28 15:44:01|
1680|6011261|240|2|DE VEHICULOS AUTOMOTORES LIGEROS NUEVOS CON NUMERO PVA-2026-002/V CON VIGENCIA DEL 01/01/2026 AL 31/12/2026SE EXIME DE P|1|2026-01-22 18:35:10|
1680|6000841|800|1|NACIONALIZACION DEL PEDIMENTO F2: 25-24-1680-5092155ESTA OPERACION SE REALIZA AL AMPARO DEL OFICIO DE AUTORIZACION DE DE|1|2026-01-16 16:47:01|
1680|5031256|800|2|5005169EMPRESA QUE ENAJENA: CITIC DICASTAL CO.,LTD. AVE.,QINHUANGDAO 185A LONGHAI AVE. CHINA HEBEI, 066011 CHINA TAX ID|1|2026-01-09 15:39:00|
1680|5087442|240|4|E LA LEY ADUANERA.PEDIMENTO CONSOLIDADO DEL 01 AL 31 DE DICIEMBRE DEL 2025.FACTURAS CON MAS DE 15 CARACTERES: 12012025-L|1|2026-01-23 11:10:08|
