Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
3147|6001012|650|84195099|375|99|ENFRIADOR DE ACEITE PARA DIRECCION|535.00000|590|535|30.00|1.000|6|1.00000|6||1|6||||CHN|USA| | | | |1|F3|2026-01-16 12:14:01|
3147|5005610|850|39263002|4|99|GUARNICIONES PARA MUEBLES|257.00000|257|257|14.27|1.000|6|1.00000|1||1|1||||USA|USA| | | | |1|F2|2026-01-26 19:51:12|
3949|5104841|071|40169901|10|00|ARTICULO DE USO TECNICO|1245.95000|25195|24919|1386.00|20.000|6|0.09000|1||0|1||||USA|USA| | | | |1|F2|2026-01-09 13:40:01|
3949|5104840|071|39269099|13|99|BANDA DE PLASTICO|2193.50000|8871|8774|488.00|4.000|6|3.62800|1||0|1||||DEU|USA| | | | |1|F2|2026-01-14 15:39:02|
1669|6000815|510|87034099|1|00|VEHICULOS AUTOMOVILES EQUIPADOS PARA LA PROPULSION CON MOTOR DE EMBOLO (PISTON) ALTERNATIVO, DE ENCENDIDO POR CHISPA Y CON MOTOR ELECTRICO|407544.82716|280265771|264089048|15325324.00|648.000|6|648.00000|6||1|1||FORD|TERRITORY|CHN|USA| | | | |1|A1|2026-01-31 11:06:01|
1680|6011265|240|87029099|1|02|VEHICULOS AUTOMOVILES, FORD TRANSIT 350, MODELO 2026, CON CARROCERIA INTEGRAL, PARA TRANSPORTAR. 15 PASAJEROS|701556.50000|1431699|1403113|80398.42|2.000|6|2.00000|6||1|1||FORD|TRANSIT 350 2026|USA|USA| | | | |1|A1|2026-01-23 16:59:05|
1733|6002677|640|40169901|3|00|PIEZA DE USO TECNICO DE CAUCHO|1266.25000|5581|5065|293.04|4.000|12|0.26000|1||0|1||||TWN|BRA| | | | |1|F3|2026-01-28 18:13:05|
3376|6001547|240|73269099|26|99|UN LOTE RACKS PALLETS SEPARADORES EMBALAJE REUTILIZABLE O ENVASES VACIOS O CONTENIENDO MERCANCIA|18.00000|18|18|1.00|1.000|5|11297.00000|1||1|6||||USA|USA| | | | |1|F2|2026-01-16 10:05:08|
3147|6001012|650|73181599|493|03|TORNILLOS|3.56000|98|89|5.00|25.000|6|0.62500|1||1|6||||USA|USA| | | | |1|F3|2026-01-16 12:14:01|
3147|5005611|850|49089099|10|02|CALCOMANIA ADHERIBLE DECORATIVA PARA CARROCERIA|458.00000|916|916|51.08|2.000|6|2.00000|1||1|1||||USA|USA| | | | |1|F2|2026-01-27 23:24:03|
3147|6001397|470|87089999|10|05|CONJUNTO DE CUBO Y COJINETE FRENO DELANTERO|378.66667|5007|4544|260.35|12.000|6|12.00000|6||0|1||||KOR|KOR| | | | |1|F3|2026-01-23 18:30:02|
3147|6001012|650|39235001|406|00|TAPON DE PLASTICO PARA TANQUE DE GASOLINA|125.00000|138|125|7.00|1.000|6|0.08100|1||1|6||||MEX|USA| | | | |1|F3|2026-01-16 12:14:01|
3949|5104840|071|73181599|39|99|PASADOR ROSCADO PROTECTOR DE IMPACTO|575.33333|1745|1726|96.00|3.000|6|0.01300|1||0|1||||ITA|USA| | | | |1|F2|2026-01-14 15:39:02|
1680|5092191|240|82090001|3|00|INSERTOS DE CARBUROS|6731.20000|33656|33656|1842.75|5.000|6|0.43000|1||0|1||||DEU|USA| | | | |1|F2|2026-01-09 12:43:03|
1680|6011269|240|87042299|1|01|VEHICULOS AUTOMOVILES DE CARGA, CON MOTOR DIESEL, FORD F-250 MODELO 2026, PESO TOTAL CON CARGA MAXIMA SUPERIOR O IGUAL A 5,000 KG, PERO INFERIOR O IGUAL A 6,351 KG.|1092558.00000|1121235|1092558|62493.29|1.000|6|1.00000|6||1|1||FORD|F-250 2026|USA|USA| | | | |1|A1|2026-01-26 18:30:08|
3147|6001012|650|87082917|354|00|JUNTA PREFORMADA PARA CARROCERIA|53.00000|58|53|3.00|1.000|6|1.00000|6||1|6||||USA|USA| | | | |1|F3|2026-01-16 12:14:01|
3147|6001012|650|40169999|448|99|MANUFACTURA DE CAUCHO|9.00000|10|9|0.50|1.000|6|0.01000|1||1|6||||USA|USA| | | | |1|F3|2026-01-16 12:14:01|
3147|5005612|850|84099199|9|11|TAPA DE LA DISTRIBUCION|935.00000|935|935|52.23|1.000|6|1.00000|1||1|1||||USA|USA| | | | |1|F2|2026-01-26 19:52:11|
3949|5104841|071|90319099|82|00|SENSOR DE IMPACTO|8019.00000|8108|8019|446.00|1.000|6|1.00000|6||0|1||||DEU|USA| | | | |1|F2|2026-01-09 13:40:01|
1669|6900631|430|87081099|406|00|PARACHOQUES|39.66667|442|357|19.91|9.000|6|9.00000|6||1|1||||DEU|GBR| | | | |1|F2|2026-01-13 11:45:01|
3147|6001012|650|87089999|148|99|TUBO PREFORMADO PARA REFRIGERANTE|143.00000|158|143|8.00|1.000|6|1.00000|6||1|6||||USA|USA| | | | |1|F3|2026-01-16 12:14:01|
1680|6002495|800|84831008|7|01|FLECHA|6370.00000|7019|6370|365.00|1.000|6|0.18100|1||0|1||||USA|USA| | | | |1|F3|2026-01-23 15:46:03|
1733|6002732|640|84813099|18|99|VALVULA ANTIRRETORNO|345.75000|1524|1383|80.00|4.000|6|0.06000|1||0|1||||DEU|USA| | | | |1|F3|2026-01-28 17:50:03|
3147|6001012|650|87085099|223|99|MASA PARA EJE|1354.00000|1492|1354|76.00|1.000|6|1.00000|6||1|6||||ESP|USA| | | | |1|F3|2026-01-16 12:14:01|
3147|6001012|650|87083099|182|99|SOPORTE DE MANGUERA DE FRENOS|18.00000|20|18|1.00|1.000|6|1.00000|6||1|6||||MEX|USA| | | | |1|F3|2026-01-16 12:14:01|
