Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|VinNumeroSerie|KilometrajeVehiculo|FechaPagoReal
1680|5005482|230|87043199|12|3FTTW8JA1TRA12308|0|2026-01-06 17:08:03|
1680|5005482|230|87043199|12|3FTTW8JA5TRA20492|0|2026-01-06 17:08:03|
1680|5005482|230|87032299|2|3FMCR9CN2SRF81174|0|2026-01-06 17:08:03|
1680|5005484|230|87032399|4|3FMCR9DA2SRF74124|0|2026-01-06 17:08:00|
1680|5005483|230|87045199|14|3FTTW8H31TRA16186|0|2026-01-06 17:36:00|
1680|5005484|230|87045199|13|3FTTW8S30TRA14390|0|2026-01-06 17:08:00|
1680|5005484|230|87032299|3|3FMCR9BN8SRF76594|0|2026-01-06 17:08:00|
1680|5005482|230|87032299|3|3FMCR9BN4SRF77564|0|2026-01-06 17:08:03|
1680|5005483|230|87043199|12|3FTTW8JA8TRA07185|0|2026-01-06 17:36:00|
1680|5005484|230|87032299|3|3FMCR9BN8SRF77874|0|2026-01-06 17:08:00|
1680|6011235|240|87032499|2|5LMJJ3TG9TEL02608|0|2026-01-14 18:07:09|
1680|5005482|230|87043199|10|3FTTW8SA6TRA43035|0|2026-01-06 17:08:03|
1680|5005482|230|87043199|11|3FTTW8BA7TRA20766|0|2026-01-06 17:08:03|
1680|5005482|230|87043199|11|3FTTW8BA1TRA23176|0|2026-01-06 17:08:03|
1680|5005482|230|87043199|12|3FTTW8JA5TRA12151|0|2026-01-06 17:08:03|
1680|5005482|230|87032399|4|3FMCR9DA5SRF73811|0|2026-01-06 17:08:03|
1680|5005482|230|87032299|3|3FMCR9BN5SRF78898|0|2026-01-06 17:08:03|
1680|5005482|230|87043199|12|3FTTW8JA5TRA09833|0|2026-01-06 17:08:03|
1680|5005482|230|87032299|2|3FMCR9CN2SRF79800|0|2026-01-06 17:08:03|
1680|5005483|230|87043199|6|3FTCW8PA7TRA22431|0|2026-01-06 17:36:00|
1680|5005484|230|87032299|3|3FMCR9BN2SRF77210|0|2026-01-06 17:08:00|
1680|5005484|230|87045199|13|3FTTW8S39TRA17546|0|2026-01-06 17:08:00|
1680|5005484|230|87032299|3|3FMCR9BN9SRF63417|0|2026-01-06 17:08:00|
1680|5005483|230|87043199|12|3FTTW8JA7TRA39397|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|12|3FTTW8JA7TRA31543|0|2026-01-06 17:36:00|
1680|5005483|230|87032299|3|3FMCR9BN2SRF81483|0|2026-01-06 17:36:00|
1680|6011235|240|87032499|2|5LMJJ3TG4TEL01012|0|2026-01-14 18:07:09|
1680|5005483|230|87045199|14|3FTTW8H31TRA14020|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|6|3FTCW8PA8TRA22910|0|2026-01-06 17:36:00|
1680|5005482|230|87032299|3|3FMCR9BN9SRF78709|0|2026-01-06 17:08:03|
1680|5005482|230|87043199|12|3FTTW8JA5TRA01795|0|2026-01-06 17:08:03|
1669|6900407|510|87032399|1|LJXBS5A34TYF68481|0|2026-01-13 10:53:02|
1680|5005483|230|87032399|4|3FMCR9DA6SRF74336|0|2026-01-06 17:36:00|
1680|5005482|230|87043199|12|3FTTW8JA4TRA40555|0|2026-01-06 17:08:03|
1669|5023760|430|87032399|3|3FMCR9DA3SRF60670|0|2026-01-06 16:51:01|
1680|5005483|230|87045199|16|3FTTW8B33TRA15226|0|2026-01-06 17:36:00|
1680|5005483|230|87045199|14|3FTTW8H31TRA00621|0|2026-01-06 17:36:00|
1680|5005484|230|87045199|13|3FTTW8S38TRA16615|0|2026-01-06 17:08:00|
1680|5005483|230|87032299|2|3FMCR9CN5SRF83341|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|12|3FTTW8JA3TRA23164|0|2026-01-06 17:36:00|
1680|5005482|230|87043199|12|3FTTW8JA1TRA12020|0|2026-01-06 17:08:03|
1680|5005483|230|87032299|3|3FMCR9BN2SRF80835|0|2026-01-06 17:36:00|
1669|6000815|510|87032399|2|LJXBS5A30TYF71779|0|2026-01-31 11:06:01|
1680|5005483|230|87032299|3|3FMCR9BN8SRF69838|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|6|3FTCW8PA9TRA21751|0|2026-01-06 17:36:00|
1680|5005482|230|87032299|3|3FMCR9BN9SRF79813|0|2026-01-06 17:08:03|
1680|5005482|230|87043199|12|3FTTW8JA4TRA34075|0|2026-01-06 17:08:03|
1680|5005482|230|87032299|3|3FMCR9BNXSRF73230|0|2026-01-06 17:08:03|
1680|5005482|230|87032299|3|3FMCR9BN5SRF80148|0|2026-01-06 17:08:03|
1680|5005482|230|87043199|12|3FTTW8JA4TRA24128|0|2026-01-06 17:08:03|
1680|5005482|230|87043199|11|3FTTW8BA2TRA08458|0|2026-01-06 17:08:03|
1680|5005483|230|87043199|6|3FTCW8PA9TRA41532|0|2026-01-06 17:36:00|
1680|5005483|230|87045199|16|3FTTW8B32TRA07067|0|2026-01-06 17:36:00|
1669|6000815|510|87032399|2|LJXBS5A30TYF67862|0|2026-01-31 11:06:01|
1680|5005483|230|87032299|3|3FMCR9BN2SRF80236|0|2026-01-06 17:36:00|
1680|5005482|230|87043199|12|3FTTW8JA1TRA19971|0|2026-01-06 17:08:03|
1669|6900407|510|87032399|1|LJXBS5A33TYF68116|0|2026-01-13 10:53:02|
1680|5005483|230|87032299|3|3FMCR9BN3SRF77412|0|2026-01-06 17:36:00|
1680|5005484|230|87045199|13|3FTTW8S37TRA15875|0|2026-01-06 17:08:00|
1680|5005483|230|87045199|16|3FTTW8B31TRA15922|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|6|3FTCW8PA4TRA22726|0|2026-01-06 17:36:00|
1680|5005482|230|87032299|2|3FMCR9CNXSRF86462|0|2026-01-06 17:08:03|
1680|5005482|230|87043199|12|3FTTW8JAXTRA11500|0|2026-01-06 17:08:03|
1669|6900407|510|87032399|1|LJXBS5A36TYF68496|0|2026-01-13 10:53:02|
1680|5005482|230|87043199|12|3FTTW8JA1TRA20599|0|2026-01-06 17:08:03|
1680|5005482|230|87032299|3|3FMCR9BN2SRF84478|0|2026-01-06 17:08:03|
1680|5005482|230|87043199|11|3FTTW8BA2TRA13014|0|2026-01-06 17:08:03|
1680|5005483|230|87043199|5|3FTCW8TA6TRA18988|0|2026-01-06 17:36:00|
1680|5005483|230|87045199|14|3FTTW8H30TRA18236|0|2026-01-06 17:36:00|
1680|5005484|230|87045199|13|3FTTW8S36TRA14751|0|2026-01-06 17:08:00|
1680|5005484|230|87032299|3|3FMCR9BN9SRF74613|0|2026-01-06 17:08:00|
1680|5005483|230|87032299|2|3FMCR9CNXSRF85151|0|2026-01-06 17:36:00|
1669|6900407|510|87032399|1|LJXBS5A35TYF67758|0|2026-01-13 10:53:02|
1680|5005482|230|87043199|12|3FTTW8JAXTRA41354|0|2026-01-06 17:08:03|
1680|5005484|230|87032299|2|3FMCR9CN9SRF74111|0|2026-01-06 17:08:00|
1680|5005483|230|87045199|16|3FTTW8B31TRA13992|0|2026-01-06 17:36:00|
1680|5005483|230|87045199|16|3FTTW8B34TRA04235|0|2026-01-06 17:36:00|
1680|5005482|230|87032299|3|3FMCR9BN5SRF84054|0|2026-01-06 17:08:03|
1680|5005482|230|87032299|3|3FMCR9BN2SRF83749|0|2026-01-06 17:08:03|
1680|5005482|230|87032299|3|3FMCR9BNXSRF70912|0|2026-01-06 17:08:03|
1680|5005482|230|87045199|16|3FTTW8B34TRA01058|0|2026-01-06 17:08:03|
1680|5005482|230|87032299|3|3FMCR9BN2SRF82987|0|2026-01-06 17:08:03|
1669|5023760|430|87032399|3|3FMCR9DA3SRF60927|0|2026-01-06 16:51:01|
1680|5005482|230|87032299|2|3FMCR9CN5SRF86028|0|2026-01-06 17:08:03|
1669|5000252|430|87038001|1|WF0TK3SU5SMA59792|0|2026-01-07 17:42:01|
1680|5005484|230|87032299|2|3FMCR9CN9SRF76795|0|2026-01-06 17:08:00|
1680|5005482|230|87043199|12|3FTTW8JAXTRA38826|0|2026-01-06 17:08:03|
1680|5005483|230|87032299|2|3FMCR9CNXSRF84307|0|2026-01-06 17:36:00|
1669|6900407|510|87032399|1|LJXBS5A37TYF68166|0|2026-01-13 10:53:02|
1680|5005484|230|87032299|3|3FMCR9BN9SRF75079|0|2026-01-06 17:08:00|
1680|5005484|230|87032299|2|3FMCR9CNXSRF74733|0|2026-01-06 17:08:00|
1680|5005483|230|87045199|16|3FTTW8B31TRA09022|0|2026-01-06 17:36:00|
1680|5005483|230|87043199|6|3FTCW8PA5TRA23965|0|2026-01-06 17:36:00|
1680|5005482|230|87032299|3|3FMCR9BN5SRF83213|0|2026-01-06 17:08:03|
1680|5005483|230|87045199|16|3FTTW8B33TRA08356|0|2026-01-06 17:36:00|
1669|6900407|510|87032399|1|LJXBS5A38TYF68063|0|2026-01-13 10:53:02|
1680|5005482|230|87032299|3|3FMCR9BN7SRF76103|0|2026-01-06 17:08:03|
1680|5005482|230|87032299|3|3FMCR9BN2SRF81693|0|2026-01-06 17:08:03|
1680|5005482|230|87045199|16|3FTTW8B33TRA09040|0|2026-01-06 17:08:03|
1680|5005483|230|87043199|6|3FTCW8PA7TRA23496|0|2026-01-06 17:36:00|
1680|5005483|230|87045199|16|3FTTW8B30TRA15880|0|2026-01-06 17:36:00|
1680|5005484|230|87032299|2|3FMCR9CNXSRF76644|0|2026-01-06 17:08:00|
