Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClavePermiso|FirmaDescargo|NumeroPermiso|ValorComercialDolares|CantidadMUMTarifa|FechaPagoReal
1680|6024625|240|27101902|2|C1||1702C126000027|6315.78|2861.76200|2026-01-21 14:02:05|
1680|6024604|240|27101902|2|C1||1702C126000027|5894.75|2768.07400|2026-01-20 11:04:07|
1680|6024620|240|27101902|1|C1||1702C126000027|16612.15|3690.76500|2026-01-19 12:43:04|
1680|5000866|240|84818025|290|NM|CTY2595CH00732|NOM-134-SCFI-1999|14.84|0.54400|2026-01-27 17:59:02|
1669|6900377|510|87034099|2|CP||25VEH001135/9901|1962263.00|81.00000|2026-01-05 15:03:01|
1680|6024603|240|27101902|3|C1||1702C126000027|2108.38|953.92100|2026-01-14 12:48:03|
1680|6024622|240|27101902|1|C1||1702C126000027|23579.01|11072.29500|2026-01-19 13:37:03|
1680|6024620|240|27101902|2|NM|NYC-2502C0AL00139|NOM-116-SCFI-2018|15878.07|7381.53000|2026-01-19 12:43:04|
1680|6024643|240|27101902|3|NM|NYC-2502C0AL00186|NOM-116-SCFI-2018|16651.35|7631.36600|2026-01-28 12:38:02|
1680|6024606|240|27101902|1|C1||1702C126000027|26087.00|10263.16600|2026-01-14 20:36:01|
1680|6024608|240|27101902|5|C1||1702C126000027|5954.28|2768.07300|2026-01-14 18:42:03|
1680|6024608|240|27101902|4|C1||1702C126000027|4367.44|953.92100|2026-01-14 18:42:03|
1680|6024628|240|27101902|1|C1||1702C126000027|42228.71|18453.82500|2026-01-21 14:03:02|
1680|6024606|240|27101902|5|NM|NYC-2402C0AL00127|NOM-116-SCFI-2018|4170.22|1876.61200|2026-01-14 20:36:01|
1680|6024607|240|27101902|3|NM|NYC-2502C0AL00186|NOM-116-SCFI-2018|10526.29|4769.60400|2026-01-14 13:46:04|
1680|6024634|240|27101902|1|NM|NYC-2402C0AL00125|NOM-116-SCFI-2018|53895.24|19078.41600|2026-01-23 19:33:04|
1669|6004061|430|87021099|1|CP||25VEH001135/9901|117856.00|4.00000|2026-01-30 16:55:04|
1680|6024619|240|27101902|1|NM|NYC-2502C0AL00252|NOM-116-SCFI-2018|42167.66|19078.41600|2026-01-15 19:52:02|
1680|6024612|240|27101902|1|C1||1702C126000027|36234.81|15089.55200|2026-01-15 18:47:07|
1669|6003628|430|87021099|1|CP||25VEH001135/9901|36112.00|1.00000|2026-01-21 13:11:03|
1680|6024608|240|27101902|1|C1||1702C126000027|5984.54|1635.29300|2026-01-14 18:42:03|
1680|6024620|240|27101902|1|NM|NYC-2402C0AL00126|NOM-116-SCFI-2018|16612.15|3690.76500|2026-01-19 12:43:04|
1680|6024606|240|27101902|6|NM|NYC-2402C0AL00271|NOM-116-SCFI-2018|4367.44|953.92100|2026-01-14 20:36:01|
1680|6024608|240|27101902|4|NM|NYC-2402C0AL00271|NOM-116-SCFI-2018|4367.44|953.92100|2026-01-14 18:42:03|
1669|6900440|510|87034099|1|CP||24VEH001105/1526|1443920.00|60.00000|2026-01-28 15:44:01|
1680|6024627|240|27101902|2|C1||1702C126000027|5437.20|1907.84200|2026-01-22 16:26:04|
1680|5000866|240|57032999|95|N3||NOM-004-SE-2021|91.89|3.00000|2026-01-27 17:59:02|
1680|6024626|240|27101902|1|NM|NYC-2402C0AL00125|NOM-116-SCFI-2018|54372.02|19078.41600|2026-01-21 14:03:02|
1680|6024624|240|27101902|2|C1||1702C126000027|2125.77|953.92100|2026-01-20 18:31:03|
1680|6024601|240|27101902|4|C1||1702C126000027|10322.17|1907.84200|2026-01-13 14:57:04|
1680|6024620|240|27101902|3|C1||1702C126000027|16842.07|7631.36600|2026-01-19 12:43:04|
1680|6024623|240|27101902|1|NM|NYC-2402C0AL00124|NOM-116-SCFI-2018|39298.35|18453.82500|2026-01-20 10:51:07|
1680|6024608|240|27101902|2|NM|NYC-2402C0AL00125|NOM-116-SCFI-2018|21748.81|7631.36600|2026-01-14 18:42:03|
1680|6024611|240|27101902|2|NM|NYC-2502C0AL00251|NOM-116-SCFI-2018|2612.53|953.92100|2026-01-14 14:58:06|
1680|6024604|240|27101902|2|NM|NYC-2402C0AL00124|NOM-116-SCFI-2018|5894.75|2768.07400|2026-01-20 11:04:07|
1669|6900407|510|87034099|2|CP||25VEH001135/9901|1658824.00|68.00000|2026-01-13 10:53:02|
1680|6024625|240|27101902|1|NM|NYC-2402C0AL00124|NOM-116-SCFI-2018|31438.68|14763.06000|2026-01-21 14:02:05|
1680|6024601|240|27101902|1|C1||1702C126000027|19351.99|7631.36600|2026-01-13 14:57:04|
1680|6024616|240|27101902|2|C1||1702C126000027|24467.41|8585.28700|2026-01-16 16:34:11|
3949|6020001|670|56081999|319|N3||NOM-004-SE-2021|10.87|0.72000|2026-01-13 15:53:00|
1680|6024642|240|27101902|1|C1||1702C126000027|42417.85|18124.49500|2026-01-28 12:37:02|
1680|6024643|240|27101902|1|C1||1702C126000027|19815.30|7358.81800|2026-01-28 12:38:02|
1669|6000815|510|87032399|2|CP||25VEH001135/9901|7401164.00|374.00000|2026-01-31 11:06:01|
3949|6020001|670|32082003|1|N3||NOM-003-SSA1-2006|16.89|0.14872|2026-01-13 15:53:00|
1680|6024605|240|27101902|1|C1||1702C126000027|17684.26|8304.22100|2026-01-14 12:48:04|
1680|6024638|240|27101902|1|C1||1702C126000027|41690.88|19078.41600|2026-01-28 12:34:07|
1680|6024624|240|27101902|1|C1||1702C126000027|4153.04|922.69100|2026-01-20 18:31:03|
3949|6020001|670|38190004|2399|NM|ANC2501C00002582|NOM-113-SCFI-1995|76.80|17.04000|2026-01-13 15:53:00|
1680|6024642|240|27101902|2|NM|NYC-2402C0AL00123|NOM-116-SCFI-2018|2694.76|953.92100|2026-01-28 12:37:02|
1669|6900345|430|87042199|3|CP||25VEH001135/9901|85872.00|4.00000|2026-01-03 11:03:02|
1680|6024602|240|27101902|2|C1||1702C126000027|37950.90|17170.57400|2026-01-14 12:45:03|
1680|6024629|240|27101902|1|C1||1702C126000027|42228.71|18453.82500|2026-01-21 14:04:04|
1669|5003141|510|57032999|48|N3||NOM-004-SE-2021|0.00|0.00000|2026-01-07 13:43:01|
1680|6024635|240|27101902|3|C1||1702C126000027|6198.10|2830.53300|2026-01-26 13:49:06|
1680|5092187|240|27101999|2|C1||1702C125000573|1199.80|140.00000|2026-01-12 15:57:02|
1680|6024612|240|27101902|3|C1||1702C126000027|2105.26|953.92100|2026-01-15 18:47:07|
1680|6024601|240|27101902|3|C1||1702C126000027|12084.64|5536.14800|2026-01-13 14:57:04|
1680|6024641|240|27101902|2|C1||1702C126000027|12421.45|2768.07400|2026-01-28 12:37:04|
1680|6024641|240|27101902|2|NM|NYC-2402C0AL00126|NOM-116-SCFI-2018|12421.45|2768.07400|2026-01-28 12:37:04|
3949|6020001|670|63079099|324|N3||NOM-004-SE-2021|226.29|0.00010|2026-01-13 15:53:00|
1680|6024615|240|27101902|4|NM|NYC-2502C0AL00139|NOM-116-SCFI-2018|6377.31|2861.76200|2026-01-15 19:51:04|
1680|6024631|240|27101902|1|C1||1702C126000027|44650.37|19078.41600|2026-01-23 18:47:02|
1680|6024622|240|27101902|1|NM|NYC-2402C0AL00124|NOM-116-SCFI-2018|23579.01|11072.29500|2026-01-19 13:37:03|
1680|6024603|240|27101902|2|NM|NYC-2402C0AL00123|NOM-116-SCFI-2018|2718.60|953.92100|2026-01-14 12:48:03|
1680|6024627|240|27101902|2|NM|NYC-2402C0AL00125|NOM-116-SCFI-2018|5437.20|1907.84200|2026-01-22 16:26:04|
1669|6900407|510|87032399|1|CP||25VEH001135/9901|1567560.00|87.00000|2026-01-13 10:53:02|
1680|6024601|240|27101902|3|NM|NYC-2402C0AL00127|NOM-116-SCFI-2018|12084.64|5536.14800|2026-01-13 14:57:04|
3949|6020001|670|56081999|318|N3||NOM-004-SE-2021|18.94|1.03000|2026-01-13 15:53:00|
1669|6900410|430|87021099|1|CP||25VEH001135/9901|353568.00|12.00000|2026-01-08 11:51:01|
1669|6004061|430|87021099|2|CP||25VEH001135/9901|397232.00|11.00000|2026-01-30 16:55:04|
1669|6900408|510|87032399|1|CP||25VEH001135/9901|4322440.00|217.00000|2026-01-19 13:28:02|
1680|6024615|240|27101902|2|C1||1702C126000027|2156.11|953.92100|2026-01-15 19:51:04|
1680|6024603|240|27101902|3|NM|NYC-2502C0AL00252|NOM-116-SCFI-2018|2108.38|953.92100|2026-01-14 12:48:03|
3949|6020001|670|56081999|320|N3||NOM-004-SE-2021|44.42|0.36287|2026-01-13 15:53:00|
1680|6024622|240|27101902|2|C1||1702C126000027|15878.07|7381.53000|2026-01-19 13:37:03|
1680|6024615|240|27101902|1|C1||1702C126000027|32556.64|13965.28700|2026-01-15 19:51:04|
1680|6024606|240|27101902|7|C1||1702C126000027|2612.53|953.92100|2026-01-14 20:36:01|
1680|6024615|240|27101902|3|C1||1702C126000027|5161.09|953.92100|2026-01-15 19:51:04|
1680|6024622|240|27101902|2|NM|NYC-2502C0AL00139|NOM-116-SCFI-2018|15878.07|7381.53000|2026-01-19 13:37:03|
1680|6024620|240|27101902|3|NM|NYC-2502C0AL00186|NOM-116-SCFI-2018|16842.07|7631.36600|2026-01-19 12:43:04|
1680|6024605|240|27101902|2|NM|NYC-2402C0AL00125|NOM-116-SCFI-2018|24467.41|8585.28700|2026-01-14 12:48:04|
3949|6020001|670|84818025|989|NM|NYC-2502C0H00936|NOM-134-SCFI-1999|3.04|0.12000|2026-01-13 15:53:00|
1680|6024641|240|27101902|1|C1||1702C126000027|40711.28|16216.65400|2026-01-28 12:37:04|
1680|6024612|240|27101902|2|C1||1702C126000027|5437.20|1907.84200|2026-01-15 18:47:07|
1680|6024605|240|27101902|3|NM|NYC-2502C0AL00252|NOM-116-SCFI-2018|4216.77|1907.84200|2026-01-14 12:48:04|
1680|6024606|240|27101902|2|NM|NYC-2402C0AL00123|NOM-116-SCFI-2018|2718.60|953.92100|2026-01-14 20:36:01|
1680|6024643|240|27101902|2|NM|NYC-2502C0AL00139|NOM-116-SCFI-2018|7888.82|3690.76500|2026-01-28 12:38:02|
1669|5003140|510|57032999|63|N3||NOM-004-SE-2021|0.00|0.00000|2026-01-13 17:37:00|
1680|6024610|240|27101902|1|NM|NYC-2402C0AL00125|NOM-116-SCFI-2018|54372.02|19078.41600|2026-01-14 17:57:02|
1680|6024150|240|29051999|1|C1||1702C125002308|9900.61|337.05300|2026-01-15 15:45:11|
1680|6024607|240|27101902|3|C1||1702C126000027|10526.29|4769.60400|2026-01-14 13:46:04|
1680|6024601|240|27101902|2|C1||1702C126000027|5437.20|1907.84200|2026-01-13 14:57:04|
1669|6900408|510|87034099|2|CP||25VEH001135/9901|3535996.00|152.00000|2026-01-19 13:28:02|
3949|6020001|670|42029204|309|N3||NOM-004-SE-2021|680.40|63.00000|2026-01-13 15:53:00|
1680|6024602|240|27101902|1|C1||1702C126000027|8734.87|1907.84200|2026-01-14 12:45:03|
1680|6024635|240|27101902|3|NM|NYC-2502C0AL00139|NOM-116-SCFI-2018|6198.10|2830.53300|2026-01-26 13:49:06|
1680|6024637|240|27101902|1|NM|NYC-2402C0AL00125|NOM-116-SCFI-2018|54372.02|19078.41600|2026-01-26 18:30:02|
1680|6024606|240|27101902|3|NM|NYC-2402C0AL00125|NOM-116-SCFI-2018|2718.60|953.92100|2026-01-14 20:36:01|
1680|6024608|240|27101902|6|NM|NYC-2502C0AL00186|NOM-116-SCFI-2018|4210.52|1907.84200|2026-01-14 18:42:03|
1680|6024617|240|27101902|1|C1||1702C126000027|45134.71|19078.41600|2026-01-16 16:16:08|
1680|6024609|240|27101902|1|C1||1702C126000027|48379.97|19078.41600|2026-01-14 14:57:04|
1680|6024620|240|27101902|2|C1||1702C126000027|15878.07|7381.53000|2026-01-19 12:43:04|
3147|5005610|850|32082003|1|N3||NOM-003-SSA1-2006|0.00|0.00000|2026-01-26 19:51:12|
1680|6024624|240|27101902|2|NM|NYC-2502C0AL00139|NOM-116-SCFI-2018|2125.77|953.92100|2026-01-20 18:31:03|
1680|6024639|240|27101902|1|C1||1702C126000027|38834.25|18453.82500|2026-01-28 12:35:08|
1680|6024601|240|27101902|4|NM|NYC-2402C0AL00272|NOM-116-SCFI-2018|10322.17|1907.84200|2026-01-13 14:57:04|
1669|6007883|430|87042199|1|CP||25VEH001135/9901|2484096.00|96.00000|2026-01-19 14:05:01|
1669|6900371|510|87043199|1|CP||25VEH001135/9901|993625.00|25.00000|2026-01-05 14:57:00|
1680|6024603|240|27101902|1|C1||1702C126000027|40495.90|17045.65600|2026-01-14 12:48:03|
1680|6024635|240|27101902|5|C1||1702C126000027|5177.39|1907.84200|2026-01-26 13:49:06|
1680|6024613|240|27101902|1|C1||1702C126000027|45134.71|19078.41600|2026-01-15 18:48:10|
1680|6024624|240|27101902|1|NM|NYC-2402C0AL00126|NOM-116-SCFI-2018|4153.04|922.69100|2026-01-20 18:31:03|
1669|6900410|510|87034099|2|CP||24VEH001105/1526|10515235.00|445.00000|2026-01-15 15:58:03|
3949|6020001|670|57032999|321|N3||NOM-004-SE-2021|33.68|1.00000|2026-01-13 15:53:00|
1680|6024618|240|27101902|1|C1||1702C126000027|48379.97|19078.41600|2026-01-15 19:53:02|
1680|6024635|240|27101902|5|NM|NYC-2502C0AL00251|NOM-116-SCFI-2018|5177.39|1907.84200|2026-01-26 13:49:06|
1680|6024643|240|27101902|3|C1||1702C126000027|16651.35|7631.36600|2026-01-28 12:38:02|
1680|6024616|240|27101902|2|NM|NYC-2402C0AL00125|NOM-116-SCFI-2018|24467.41|8585.28700|2026-01-16 16:34:11|
1680|6024607|240|27101902|2|C1||1702C126000027|10070.53|4613.45600|2026-01-14 13:46:04|
1669|6900377|510|87032399|1|CP||25VEH001135/9901|2147396.00|119.00000|2026-01-05 15:03:01|
1680|6024606|240|27101902|4|C1||1702C126000027|8306.08|1845.38200|2026-01-14 20:36:01|
1669|6900410|430|87021099|2|CP||25VEH001135/9901|325008.00|9.00000|2026-01-08 11:51:01|
1680|6024630|240|27101902|1|C1||1702C126000027|42228.71|18453.82500|2026-01-23 18:46:02|
3949|6020001|670|63049301|323|N3||NOM-004-SE-2021|87.45|1.00000|2026-01-13 15:53:00|
1680|6024603|240|27101902|2|C1||1702C126000027|2718.60|953.92100|2026-01-14 12:48:03|
1680|6024602|240|27101902|2|NM|NYC-2502C0AL00252|NOM-116-SCFI-2018|37950.90|17170.57400|2026-01-14 12:45:03|
1680|6024607|240|27101902|1|C1||1702C126000027|21512.13|8585.28700|2026-01-14 13:46:04|
1680|6024605|240|27101902|2|C1||1702C126000027|24467.41|8585.28700|2026-01-14 12:48:04|
1669|6900370|510|87034099|2|CP||25VEH001135/9901|5520059.00|233.00000|2026-01-03 09:35:00|
1680|6024604|240|27101902|3|C1||1702C126000027|31578.88|14308.81200|2026-01-20 11:04:07|
1680|5000827|240|63079099|69|N3||NOM-004-SE-2021|2.24|0.01600|2026-01-27 11:36:02|
1680|6024606|240|27101902|3|C1||1702C126000027|2718.60|953.92100|2026-01-14 20:36:01|
1680|6024614|240|27101902|1|C1||1702C126000027|42167.66|19078.41600|2026-01-15 18:49:04|
1680|6024610|240|27101902|1|C1||1702C126000027|54372.02|19078.41600|2026-01-14 17:57:02|
1680|6024642|240|27101902|2|C1||1702C126000027|2694.76|953.92100|2026-01-28 12:37:02|
1680|6024608|240|27101902|3|C1||1702C126000027|6184.32|2799.30300|2026-01-14 18:42:03|
1680|6024632|240|27101902|1|C1||1702C126000027|41757.30|18453.82500|2026-01-23 18:48:02|
1680|6024637|240|27101902|1|C1||1702C126000027|54372.02|19078.41600|2026-01-26 18:30:02|
1680|6024602|240|27101902|1|NM|NYC-2402C0AL00271|NOM-116-SCFI-2018|8734.87|1907.84200|2026-01-14 12:45:03|
1680|6024604|240|27101902|1|C1||1702C126000027|2256.74|953.92100|2026-01-20 11:04:07|
1680|6024623|240|27101902|1|C1||1702C126000027|39298.35|18453.82500|2026-01-20 10:51:07|
1680|6024640|240|27101902|2|NM|NYC-2402C0AL00125|NOM-116-SCFI-2018|40421.43|14308.81200|2026-01-28 12:35:14|
1680|6024611|240|27101902|2|C1||1702C126000027|2612.53|953.92100|2026-01-14 14:58:06|
1680|6024635|240|27101902|2|NM|NYC-2402C0AL00124|NOM-116-SCFI-2018|9708.56|4613.45600|2026-01-26 13:49:06|
1680|6024638|240|27101902|1|NM|NYC-2502C0AL00252|NOM-116-SCFI-2018|41690.88|19078.41600|2026-01-28 12:34:07|
1680|6024606|240|27101902|7|NM|NYC-2502C0AL00251|NOM-116-SCFI-2018|2612.53|953.92100|2026-01-14 20:36:01|
1680|6024625|240|27101902|1|C1||1702C126000027|31438.68|14763.06000|2026-01-21 14:02:05|
1680|6024640|240|27101902|2|C1||1702C126000027|40421.43|14308.81200|2026-01-28 12:35:14|
1680|6024608|240|27101902|6|C1||1702C126000027|4210.52|1907.84200|2026-01-14 18:42:03|
1669|6900410|510|87032399|1|CP||24VEH001105/1526|2697564.00|141.00000|2026-01-15 15:58:03|
1680|5092187|240|27101902|1|C1||1702C125001061|1535.60|416.35000|2026-01-12 15:57:02|
1680|6024626|240|27101902|1|C1||1702C126000027|54372.02|19078.41600|2026-01-21 14:03:02|
1680|6024621|240|27101902|1|C1||1702C126000027|40711.28|16216.65400|2026-01-19 12:53:03|
1669|6900345|430|87021099|1|CP||25VEH001135/9901|1208024.00|41.00000|2026-01-03 11:03:02|
1669|6900409|510|87032399|1|CP||24VEH001105/1526|1490004.00|36.00000|2026-01-16 11:13:01|
1680|6024635|240|27101902|4|NM|NYC-2502C0AL00186|NOM-116-SCFI-2018|10407.10|4769.60400|2026-01-26 13:49:06|
