Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveCaso|IdentificadorCaso|ComplementoCaso|FechaPagoReal
1680|6011287|240|87043199|1|OV|1||2026-01-31 14:44:01|
1680|5087442|240|39231003|3|RA| ||2026-01-23 11:10:08|
1680|6011262|240|87032399|1|TL|USA||2026-01-22 18:35:11|
1680|6011284|240|87043199|1|TL|USA||2026-01-31 14:41:02|
1680|6011284|240|87043199|1|ES|N||2026-01-31 14:41:02|
1669|6000815|510|87034099|1|MV|2026||2026-01-31 11:06:01|
3147|5038781|470|85437099|8|EN|U|NOM-001-SCFI-2018|2026-01-29 22:00:01|
1680|5000827|240|87089305|411|EN|ENOM|NOM-050-SCFI-2004|2026-01-27 11:36:02|
1680|5000866|240|85437099|462|EN|ENOM|NOM-030-ENER-2016|2026-01-27 17:59:02|
3147|5038653|470|85122002|87|EN|ENOM|NOM-024-SCFI-2013|2026-01-29 22:06:01|
1680|6011285|240|87043199|1|PO|5424660.00|FORDMOTORCOMPANY|2026-01-31 14:41:02|
1680|6011286|240|87043199|1|TL|USA||2026-01-31 14:41:03|
1669|6000815|510|87032399|2|MV|2026||2026-01-31 11:06:01|
1680|6011262|240|87032499|2|ES|N||2026-01-22 18:35:11|
1680|5087442|240|39231003|12|RA| ||2026-01-23 11:10:08|
1680|6011286|240|87043199|1|PO|5424660.00|FORDMOTORCOMPANY|2026-01-31 14:41:03|
1669|6000815|510|87032399|2|DC|1||2026-01-31 11:06:01|
1680|6000840|800|84213999|5|EN|U|NOM-024-SCFI-2013|2026-01-23 14:22:02|
1680|6011256|240|87029099|1|EO|1||2026-01-21 14:40:03|
1680|6011270|240|87043299|3|MV|2026||2026-01-23 18:46:04|
1680|6011285|240|87043199|1|ES|N||2026-01-31 14:41:02|
3949|5060535|070|830820|25|ME|9803000100||2026-01-05 17:11:05|
3147|5038781|470|87089199|51|EN|ENOM|NOM-050-SCFI-2004|2026-01-29 22:00:01|
1680|5000827|240|85437099|292|EN|ENOM|NOM-024-SCFI-2013|2026-01-27 11:36:02|
1680|5000827|240|85176217|245|EN|ENOM|NOM-016-SCFI-1993|2026-01-27 11:36:02|
3147|5038481|470|84099199|57|EN|ENOM|NOM-050-SCFI-2004|2026-01-29 19:09:00|
3949|5060535|070|902519|56|ME|9803000100||2026-01-05 17:11:05|
1680|6011286|240|87043199|1|ES|N||2026-01-31 14:41:03|
3949|6000017|670|39269099|1|EN|U|NOM-002-CONAGUA-2021|2026-01-22 11:38:02|
1680|6002474|800|76069299|1|TL|USA||2026-01-21 15:15:06|
1680|5087442|240|39231003|6|RA| ||2026-01-23 11:10:08|
1680|6011279|240|87043199|2|TL|USA||2026-01-30 18:41:07|
3147|5038653|470|87083099|97|EN|ENOM|NOM-050-SCFI-2004|2026-01-29 22:06:01|
3147|6001397|470|87089999|10|EN|ENOM|NOM-050-SCFI-2004|2026-01-23 18:30:02|
1680|6002471|800|76069299|1|TL|USA||2026-01-21 15:15:05|
1680|6011260|240|87043299|3|MV|2026||2026-01-22 18:35:09|
1680|5000866|240|87089199|632|EN|ENOM|NOM-050-SCFI-2004|2026-01-27 17:59:02|
1669|6900345|430|87021099|2|OV|1||2026-01-03 11:03:02|
