Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|FormaPago|ImportePago|FechaPagoReal
3147|6001761|470|85371099|10|3|0|2496|2026-01-30 17:29:02|
1669|5003140|510|87083006|297|3|21|1061|2026-01-13 17:37:00|
3147|5005609|850|87089305|114|3|21|757|2026-01-20 14:43:15|
3147|6001761|470|73181599|15|6|0|214|2026-01-30 17:29:02|
1680|6011285|240|87043199|1|3|0|867946|2026-01-31 14:41:02|
3147|6001761|470|87084099|2|3|0|280|2026-01-30 17:29:02|
3147|6001012|650|87083099|188|3|0|5|2026-01-16 12:14:01|
3147|5005608|850|85258999|39|3|21|146|2026-01-20 14:03:06|
3147|5005609|850|94019999|131|3|21|264|2026-01-20 14:43:15|
3147|6001012|650|85291009|260|3|0|16|2026-01-16 12:14:01|
3147|6001761|470|90328999|3|6|0|7320|2026-01-30 17:29:02|
1680|6002507|800|85015305|1|3|0|14142|2026-01-30 15:24:02|
3147|6001761|470|90318099|7|3|0|20439|2026-01-30 17:29:02|
1680|6002495|800|85015102|8|6|0|20291|2026-01-23 15:46:03|
1680|6000839|800|39269099|1|3|0|1970|2026-01-13 11:59:01|
1680|6011284|240|87043199|1|3|0|867946|2026-01-31 14:41:02|
1680|5000866|240|87088005|607|3|21|40090|2026-01-27 17:59:02|
1680|6000850|800|76069299|1|3|0|1540414|2026-01-14 13:22:01|
3147|6001014|650|83012002|9|3|0|423|2026-01-20 11:43:01|
1669|6001813|810|72259101|3|3|0|133478|2026-01-30 11:25:01|
3147|6001761|470|90328999|5|3|0|25913|2026-01-30 17:29:02|
3949|6020001|670|90261007|2281|3|0|72|2026-01-13 15:53:00|
3147|6001012|650|39269099|348|6|0|3|2026-01-16 12:14:01|
1680|6024620|240|27101902|2|6|0|9636|2026-01-19 12:43:04|
1680|6011248|240|87032499|1|3|0|176859|2026-01-17 12:44:03|
3147|6001012|650|84139113|52|3|0|85|2026-01-16 12:14:01|
3949|6020001|670|87089199|2704|3|0|4841|2026-01-13 15:53:00|
3147|6001761|470|85371099|14|3|0|282|2026-01-30 17:29:02|
1680|6011286|240|87043199|1|3|0|867946|2026-01-31 14:41:03|
3147|5005609|850|85443099|60|6|6|1057|2026-01-20 14:43:15|
1669|5003140|510|87088012|345|6|6|26|2026-01-13 17:37:00|
1680|5000866|240|40169304|78|3|21|189|2026-01-27 17:59:02|
1680|5000866|240|84213199|267|3|21|350|2026-01-27 17:59:02|
1680|5031251|800|85371004|2|3|21|207113|2026-01-12 17:03:03|
3949|6900421|160|72091701|2|6|0|2923947|2026-01-23 12:03:01|
1669|6900631|430|87081099|409|3|21|10|2026-01-13 11:45:01|
3147|6001761|470|85249101|12|3|0|5563|2026-01-30 17:29:02|
3949|6020001|670|87089999|2205|3|0|29|2026-01-13 15:53:00|
3147|6001012|650|40169999|216|3|0|6|2026-01-16 12:14:01|
3147|6001012|650|87084099|50|3|0|8|2026-01-16 12:14:01|
3147|6001012|650|85013199|372|3|0|83|2026-01-16 12:14:01|
3147|5005609|850|87082904|74|3|21|2570|2026-01-20 14:43:15|
3949|6020001|670|84818020|956|3|0|107|2026-01-13 15:53:00|
3147|6001012|650|87082999|424|6|0|207|2026-01-16 12:14:01|
1669|6900631|430|85443099|389|6|6|19|2026-01-13 11:45:01|
3949|6900421|160|72104999|3|3|0|1467942|2026-01-23 12:03:01|
3147|5005570|850|87082999|7|3|21|44|2026-01-09 23:47:03|
1680|5000866|240|85364199|425|3|21|1627|2026-01-27 17:59:02|
1680|5000866|240|87081099|480|3|21|13|2026-01-27 17:59:02|
3147|5037949|470|84799018|7|3|21|6252|2026-01-09 16:27:03|
3147|6001369|470|40093106|4|3|0|38|2026-01-23 12:03:01|
1669|6900631|430|84133099|208|3|21|807|2026-01-13 11:45:01|
3147|6001012|650|85365099|112|3|0|16|2026-01-16 12:14:01|
1669|6900631|430|39269020|19|6|6|39|2026-01-13 11:45:01|
3147|5005609|850|85443099|58|3|21|181|2026-01-20 14:43:15|
3147|6001012|650|87082999|340|3|0|56|2026-01-16 12:14:01|
3147|6001012|650|87082999|244|6|0|20|2026-01-16 12:14:01|
3147|6001012|650|87084099|64|3|0|55|2026-01-16 12:14:01|
3949|6020001|670|84835003|1103|3|0|1688|2026-01-13 15:53:00|
3147|6001012|650|85444299|481|6|0|10|2026-01-16 12:14:01|
1669|5003140|510|87089999|402|3|21|417|2026-01-13 17:37:00|
3147|6001294|470|83023091|3|3|0|622|2026-01-22 12:41:01|
1669|6900631|430|73181599|109|3|21|296|2026-01-13 11:45:01|
1680|5000866|240|84148099|256|3|21|1808|2026-01-27 17:59:02|
1680|5000866|240|85122099|381|6|6|76|2026-01-27 17:59:02|
1669|6900631|430|84099199|177|3|21|91|2026-01-13 11:45:01|
1680|6024634|240|27101902|1|6|0|31976|2026-01-23 19:33:04|
1669|5003140|510|87089412|358|3|21|12639|2026-01-13 17:37:00|
1680|6024613|240|27101902|1|3|0|154547|2026-01-15 18:48:10|
3949|6020001|670|90329002|2750|3|0|78|2026-01-13 15:53:00|
3147|6001012|650|90275091|168|3|0|1123|2026-01-16 12:14:01|
1680|6002489|800|82075007|3|6|0|2981|2026-01-16 16:43:01|
3147|6001012|650|87089412|361|3|0|152|2026-01-16 12:14:01|
1680|6000841|800|40169304|2|3|0|968|2026-01-16 16:47:01|
3949|6020001|670|90251901|2259|3|0|82|2026-01-13 15:53:00|
3147|6001012|650|90329002|457|3|0|6|2026-01-16 12:14:01|
1669|5003140|510|87088012|342|6|6|21|2026-01-13 17:37:00|
1680|6024632|240|27101902|1|3|0|141752|2026-01-23 18:48:02|
3949|6020001|670|40169901|280|6|0|2|2026-01-13 15:53:00|
1680|5000866|240|39269099|42|3|21|1171|2026-01-27 17:59:02|
1680|5000866|240|87085099|591|6|6|4513|2026-01-27 17:59:02|
3949|6020001|670|40169304|224|3|0|538|2026-01-13 15:53:00|
3147|5005609|850|70091099|12|6|6|585|2026-01-20 14:43:15|
3949|6020001|670|87083004|1762|3|0|82|2026-01-13 15:53:00|
