Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SecuenciaObservacion|Observaciones|FechaPagoReal
3129|6000603|240|39231003|1|1|No. Fact. IMP14337546 No. de Parte: SB71-C757F No. Partes al agrupar: (TA1216-C5Z1F, GZSSA, SB43-GCV9F, TA788-FKFHA, SB3|2026-01-21 12:03:03|
1680|6002473|800|76069299|2|1|FACT 26062521 ORD 1, 2, 3, 4, 5, 6, 7. FACT 26062520 ORD 1, 2, 3, 4, 5, 6, 7. FACT 26062831 ORD 1, 2, 3, 4, 5. FACT 2606|2026-01-21 15:15:06|
1680|5000932|240|39231003|1|23|T95-FZSQA NP: BASES-FZSRB NP: SB43-GHHFA NP: LIDS-HEVRA NP: LIDS-HUK9A NP: 0715E744-S2FCD|2026-01-05 17:10:02|
1680|5035180|800|39239099|21|27|CT: 261125SH-W48 NP: BASE ,FACT: 29112025AP06 NP: BASE ,FACT: 291125AP10-W48 NP: BASE ,FACT: 31158014 NP: BASE ,FACT: 31|2026-01-19 16:02:02|
1680|5087442|240|39239099|27|33|,FACT: 5654/2025 NP: TARIMA ,FACT: 5656/2025 NP: TARIMA ,FACT: 5657/2025 NP: TARIMA ,FACT: 5660/2025 NP: TARIMA ,FACT:|2026-01-23 11:10:08|
3949|5001067|070|84099199|1|27|F757136D ORD 1.  ,FACT: FMMD546510 NP: PBFT4E6015FH ,FACT: FMMD546511 NP: PBFT4E6015FH ,FACT: FMMD546514 NP: PBFT4E6015F|2026-01-05 18:07:01|
1680|6000844|800|72259999|1|2|1862 ORD 1. FACT 902210018 ORD 1. FACT 902208316 ORD 1. FACT 902208251 ORD 1. FACT 902208382 ORD 1. FACT 902208319 ORD 1|2026-01-21 15:46:01|
3949|6000016|670|84082001|5|1|FACT 1894948 ORD 2, 6. FACT 1895020 ORD 1, 4, 6, 7. FACT 1895076 ORD 3, 4.  ,FACT:1894948 NP: PC3Q6006AA NP: PC3Q6006AA|2026-01-22 11:38:01|
3949|6000016|670|87089199|9|1|FACT 1895020 ORD 3.  ,FACT:1895020 NP: LX6E9F464AD|2026-01-22 11:38:01|
3147|6001325|470|87087006|1|1|FACT 1437243194 NP 2010-TPSLLNT-25|2026-01-21 17:57:01|
1680|5034296|800|84099199|1|1|FACT: FMMD 546808 NP: PBGB8E-6015-FH ,FACT: FMMD 546814 NP: PBGB8E-6015-FH ,FACT: FMMD 546831 NP: PBGB8E-6015-FH ,FACT:|2026-01-05 15:26:03|
1680|6000840|800|82041101|3|1|FACT 0637547 ORD 1.  ,FACT:0637547 NP: 48229516|2026-01-23 14:22:02|
1680|5035180|800|39235001|17|22|FACT: 1367903 R NP: TAPA ,FACT: 1369134 R NP: TAPA ,FACT: 1369389 R NP: TAPA ,FACT: 1369638 R NP: TAPA ,FACT: 1369652 NP|2026-01-19 16:02:02|
1680|5000932|240|39239099|3|12|32, 33, 34, 35, 36, 38, 41, 42, 43, 44, 45, 47, 49, 50, 52. FACT LA2-EW-457137 ORD 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 1|2026-01-05 17:10:02|
1680|6000844|800|72259999|1|21|215569 ORD 1 510043-02. FACT 902220431 ORD 1 504129-02. ,FACT: 902145892 NP: RM2024213995ERMA 7225999901 ,FACT: 90214696|2026-01-21 15:46:01|
1680|6002475|800|76069299|2|5|63576100159264. FACT 26062833 ORD 5 263576100159265. FACT 26062981 ORD 1 263585900159938. FACT 26062981 ORD 2 2635859001|2026-01-21 15:15:07|
1680|6002475|800|76069299|2|21|4 C600 NP: LJ8B R16854 C600 NP: LJ8B R16854 C600 NP: LJ8B R16854 C600 NP: LJ8B R16854 C600 ,FACT: 26063006 NP: LJ8B R160|2026-01-21 15:15:07|
1680|6000844|800|72259999|1|5|1. FACT 902211337 ORD 1. FACT 902211264 ORD 1. FACT 902208353 ORD 1. FACT 902211373 ORD 1. FACT 902211202 ORD 1. FACT 9|2026-01-21 15:46:01|
3949|5001068|070|39239099|1|26|43R NP: RACKNANO ,FACT: 767245R NP: RACKNANO ,FACT: 767246R NP: RACKNANO|2026-01-05 19:55:00|
3147|5005609|850|85437099|53|1|FACT 346793 NP ML3Z14529BE FACT 346837 NP ML3Z14529BE|2026-01-20 14:43:15|
1680|5087442|240|39239099|18|28|ASES ,FACT: 5694/2025 NP: BASE ,FACT: 5695/2025 NP: BASES ,FACT: 5696/2025 NP: BASES ,FACT: 5697/2025 NP: BASES ,FACT: 5|2026-01-23 11:10:08|
3949|5001067|070|84099199|1|11|8B96-8131B46637A7 ORD 1. FACT 2FCEF17D-5B0F-4C52-8BF1-0E9995713810 ORD 1. FACT E82308BB-41A7-4BBA-9AA8-4F5BF2A9A454 ORD|2026-01-05 18:07:01|
3147|6001295|470|39199099|2|1|FACT SCM020-20251111-0142 NP 570203-00188|2026-01-21 11:53:01|
3949|6000016|670|40169304|1|2|,FACT: 1895076 NP: LC3Q6700DA|2026-01-22 11:38:01|
1680|6024628|240|27101902|1|1|FACT 9523934084 ORD 1.  ,FACT: 9523934084 NP: MXT55Q3M|2026-01-21 14:03:02|
3147|6001325|470|73269099|12|1|FACT 9898709660 NP SMPL-MTLCLP-110|2026-01-21 17:57:01|
3949|5001068|070|39239099|1|21|,FACT: 766760R NP: RACKNANO ,FACT: 766798R NP: RACKNANO ,FACT: 766847R NP: RACKNANO ,FACT: 766888R NP: RACKNANO ,FACT:|2026-01-05 19:55:00|
1680|5087442|240|39239099|27|17|/2025 NP: TARIMA ,FACT: 5551/2025 NP: TARIMA ,FACT: 5553/2025 NP: TARIMA ,FACT: 5554/2025 NP: TARIMA ,FACT: 5557/2025 NP|2026-01-23 11:10:08|
1680|5035180|800|39235001|17|7|AS ,FACT: 04122025FK-2 NP: TAPAS ,FACT: 04122025FMC-1 NP: TAPAS ,FACT: 04122025FMC-2 NP: TAPAS ,FACT: 04122025FMC-3 NP:|2026-01-19 16:02:02|
3949|5001070|071|39239099|1|2|FACT 765660R ORD 1. FACT 765760R ORD 1. FACT 765790R ORD 1. FACT 765861R ORD 1. FACT 765963R ORD 1. FACT 766010R ORD 1.|2026-01-05 17:30:07|
3147|6001325|470|39269099|8|1|FACT 4884679726 NP 7252208930|2026-01-21 17:57:01|
1680|6002475|800|76061299|1|8|NP: NZ6B 16A680 C902 NP: NZ6B 16A680 C902 NP: NZ6B 16A680 C902 NP: NZ6B 16A680 C902|2026-01-21 15:15:07|
1680|6002465|800|76069299|1|10|8B R16015 C650 NP: LJ8B R16015 C650 ,FACT: 26052305 NP: LJ8B R16615 C550 NP: LJ8B R16615 C550 NP: LJ8B R16615 C550 NP: L|2026-01-21 15:15:05|
3147|6001323|470|85258999|7|1|FACT Y64282KCZCJ NP LJ8T3G592CDW|2026-01-21 18:03:01|
1680|5000932|240|39239099|3|42|T26-M5740 NP: LIDS-M5740 NP: BASES-S2FCD NP: LIDS-S4U88 NP: BASES-S4U88 NP: DA198-S4U88 NP: EMP848-V1Z4F NP: BASES-V1Z4F|2026-01-05 17:10:02|
3147|5005608|850|94019999|84|1|FACT 983928 NP MU5Z5461018R|2026-01-20 14:03:06|
3949|6000016|670|87089999|10|1|FACT 1894948 ORD 7.  ,FACT:1894948 NP: LC3Q9F911AC|2026-01-22 11:38:01|
1680|5092172|240|76069299|2|2|CIFICAS: FACT 26063360 ORD 1 263608100161070. FACT 26063360 ORD 2 263608100161065. FACT 26063360 ORD 3 263608100161066.|2026-01-05 13:16:03|
1680|6000844|800|72259999|1|18|FACT 902211307 ORD 1 515980-04. FACT 902208347 ORD 1 516046-01. FACT 902208288 ORD 1 510041-02. FACT 902215459 ORD 1 510|2026-01-21 15:46:01|
3129|6000613|240|39231003|1|6|14408757, IMP14410888, IMP14407630, IMP14409714, IMP14410969, IMP14410821, IMP14411574, IMP14411488, IMP14411510, IMP144|2026-01-21 16:01:11|
1680|6011258|240|87043199|1|1|FACT CTTX694115-A76412-1/1 ORD 8.  ,FACT: CTTX694115-A76412-1/1 NP: FW7L8-TF|2026-01-21 18:27:09|
1680|6002467|800|76069299|1|1|FACT 169150301 ORD 1, 2, 3. FACT 169150401 ORD 1, 2, 3. FACT 169150501 ORD 1, 2, 3.  ,FACT: 169150301 NP: LJ98 10C700 A|2026-01-21 15:15:04|
1680|5000932|240|39231003|1|17|IDS-HEVRA NP: 0715E744-S2FCD ,FACT: LA2-EW-457137 NP: LIDS-EPKRC NP: ST55-GY2FA NP: LIDS-HEVRA NP: 0715E744-S2FCD ,FACT:|2026-01-05 17:10:02|
1680|5087442|240|39235001|16|25|T: NEWMX-RP-943 NP: TAPA NP: TAPA ,FACT: NEWMX-RP-944 NP: TAPA NP: TAPA ,FACT: NEWMX-RP-945 NP: TAPA NP: TAPA ,FACT: NEW|2026-01-23 11:10:08|
3147|5005608|850|87087099|67|1|FACT 803671 NP FL3Z1015A|2026-01-20 14:03:06|
1680|5000932|240|39239099|3|47|P: ST26-U7SAK NP: EMP848-V1Z4F NP: BASES-V1Z4F ,FACT: LA2-EW-457122 NP: ECC420-A821A NP: BASES-A821A NP: LIDS-A821A NP:|2026-01-05 17:10:02|
3147|6001294|470|83023091|3|1|FACT 251119797 NP VC3E8D611JA|2026-01-22 12:41:01|
1680|6002472|800|76069299|1|16|ORD 5 263496500155420. FACT 26061437 ORD 6 263496500155421. FACT 26061385 ORD 1 263497200155387. FACT 26061385 ORD 2 26|2026-01-21 15:15:07|
3147|6000328|850|87084099|3|1|MB3P7K004CGW|2026-01-21 12:46:09|
1680|6000844|800|72259999|1|30|9901 ,FACT: 902208394 NP: RM2024213993ERMA 7225999901 ,FACT: 902209983 NP: RM2024213997ERMA 7225999901 ,FACT: 902210018|2026-01-21 15:46:01|
1680|5000932|240|39235001|2|6|, 72. FACT LA2-EW-457293 ORD 6, 28, 63, 67, 68, 73.  ,FACT:LA2-EW-456774 NP: LIDS-AEGDG NP: LIDS-F778H NP: LIDS-FL9XA NP|2026-01-05 17:10:02|
1680|6001004|230|72104999|1|12|RMA 7210499901 NP: RM2021188452ERMA 7210499901 NP: RM2021188452ERMA 7210499901 NP: RM2021188452ERMA 7210499901|2026-01-19 11:13:01|
1680|6011270|240|87043299|3|1|FACT TTGX822827-A01595-1/1 ORD 2, 3, 4, 5.  ,FACT:TTGX822827-A01595-1/1 NP: RF3GN-TE NP: RF3GN-TE NP: RF3GN-TE NP: RF3GN|2026-01-23 18:46:04|
1680|5036308|240|72259999|1|35|902211353 NP: RM2024213993ERMA 7225999901 ,FACT: 902211373 NP: RM2024213993ERMA 7225999901 ,FACT: 902211394 NP: RM202421|2026-01-02 16:20:09|
1680|6000844|800|72259999|1|33|1264 NP: RM2024213997ERMA 7225999901 ,FACT: 902211291 NP: RM2024213999ERMA 7225999901 ,FACT: 902211307 NP: RM2025219549E|2026-01-21 15:46:01|
1680|6002472|800|76069299|1|9|62900154213. FACT 26060941 ORD 5 263462900154214. FACT 26060941 ORD 6 263462900154215. FACT 26061384 ORD 1 2634972001553|2026-01-21 15:15:07|
1680|6002473|800|76069299|2|5|ORD 2 263561900158283. FACT 26062520 ORD 3 263561900158284. FACT 26062520 ORD 4 263561900158285. FACT 26062520 ORD 5 26|2026-01-21 15:15:06|
3147|6000328|850|85371099|15|1|VJ7T18K811AAW|2026-01-21 12:46:09|
1680|5034296|800|84099199|1|2|FMMD 546832 NP: PBGB8E-6015-FH|2026-01-05 15:26:03|
1680|5087442|240|39235001|15|10|: 1254736858 NP: TAPA ,FACT: 1254750278 NP: TAPA ,FACT: 1254750285 NP: TAPA NP: TAPA ,FACT: 1254750287 NP: TAPA ,FACT: 1|2026-01-23 11:10:08|
1680|5035180|800|39239099|23|28|9430028072-1 NP: BASES ,FACT: 9430028080-1 NP: BASES ,FACT: A100779-1 NP: BASES ,FACT: A100780-1 NP: BASES ,FACT: A10078|2026-01-19 16:02:02|
1680|5035195|800|39231003|2|1|FACT:R08259IEPC NP: ST39ABZ2DQ|2026-01-05 16:08:00|
1680|6002475|800|76069299|2|10|160027. FACT 26063010 ORD 2 263585800160028. FACT 26063010 ORD 3 263585800160055. FACT 26063010 ORD 4 263585800160056. F|2026-01-21 15:15:07|
1680|6002472|800|76069299|1|18|5435. FACT 26061386 ORD 3 263497200155436. FACT 26061436 ORD 1 263496500155452. FACT 26061436 ORD 2 263496500155453. FAC|2026-01-21 15:15:07|
1680|6002473|800|76069299|2|2|2832 ORD 1, 2, 3, 4, 5. DESCRIPCIONES ESPECIFICAS: FACT 26062521 ORD 1 263561900158291. FACT 26062521 ORD 2 263561900158|2026-01-21 15:15:06|
