Patente|Pedimento|SeccionAduanera|ClaveDocumento|FechaPago|PedimentoAnterior|PatenteAnterior|SeccionAduaneraAnterior|DocumentoAnterior|FechaOperacionAnterior|PedimentoOriginal|PatenteAduanalOrig|SeccionAduaneraDespOrig|FechaPagoReal
1669|6900401|510|A1|2026-01-13|5003243|1669|510|A1|2026-01-07|0|0| |2026-01-13 17:15:03|
1669|6900440|510|A1|2026-01-28|5003170|1669|510|A1|2025-12-02|0|0| |2026-01-28 15:44:01|
1669|6001580|810|F3|2026-01-17|5006979|1669|810|F3|2025-12-23|0|0| |2026-01-17 10:35:02|
3376|6001547|240|F2|2026-01-16|5003201|3376|240|F2|2025-12-31|0|0| |2026-01-16 10:05:08|
1680|6000834|800|F3|2026-01-13|5031363|1680|800|F3|2025-12-15|0|0| |2026-01-13 17:35:03|
1669|6900410|510|A1|2026-01-15|5003249|1669|510|A1|2025-12-16|0|0| |2026-01-15 15:58:03|
1680|6000836|800|F3|2026-01-13|5031348|1680|800|F3|2025-12-17|0|0| |2026-01-13 17:41:09|
1680|6011221|240|A1|2026-01-03|5100941|1680|240|A1|2025-12-30|0|0| |2026-01-03 13:19:02|
3129|6000603|240|F2|2026-01-21|5026269|3129|240|F2|2025-12-17|0|0| |2026-01-21 12:03:03|
1680|6000833|800|F3|2026-01-13|5031362|1680|800|F3|2025-12-15|0|0| |2026-01-13 17:35:02|
3147|6001761|470|F3|2026-01-30|6001405|3147|470|F3|2026-01-27|0|0| |2026-01-30 17:29:02|
1669|6900345|430|A1|2026-01-03|5023943|1669|430|A1|2025-12-30|0|0| |2026-01-03 11:03:02|
1669|6900409|510|A1|2026-01-16|5003254|1669|510|A1|2025-12-16|0|0| |2026-01-16 11:13:01|
1669|6900631|430|F2|2026-01-13|5023619|1669|430|F2|2026-01-08|0|0| |2026-01-13 11:45:01|
1669|6900370|510|A1|2026-01-03|5003343|1669|510|A1|2025-12-29|0|0| |2026-01-03 09:35:00|
3147|6000328|850|F2|2026-01-21|5004241|3147|850|F2|2025-10-06|0|0| |2026-01-21 12:46:09|
1669|6900377|510|A1|2026-01-05|5003344|1669|510|A1|2025-12-29|0|0| |2026-01-05 15:03:01|
3147|6001206|470|F2|2026-01-20|5033240|3147|470|F2|2025-08-07|0|0| |2026-01-20 16:41:02|
1680|6000835|800|F3|2026-01-13|5031347|1680|800|F3|2025-12-15|0|0| |2026-01-13 17:41:08|
1669|6001581|810|F3|2026-01-17|5006980|1669|810|F3|2025-12-23|0|0| |2026-01-17 10:48:00|
3147|6000341|521|A1|2026-01-15|5009246|3147|521|A1|2026-01-08|0|0| |2026-01-15 10:30:01|
1669|6001582|810|F3|2026-01-17|5006981|1669|810|F3|2025-12-23|0|0| |2026-01-17 11:01:00|
1680|6002885|240|F2|2026-01-14|4014870|1680|240|F2|2024-06-06|0|0| |2026-01-14 17:45:08|
3129|6000613|240|F2|2026-01-21|5026337|3129|240|F2|2026-01-14|0|0| |2026-01-21 16:01:11|
