Patente|Pedimento|SeccionAduanera|ClaveContribucion|FormaPago|ImportePago|TipoPedimento|FechaPagoReal
3147|6001206|470|1|0|444|2|2026-01-20 16:41:02|
1669|6900345|430|3|0|38404|2|2026-01-03 11:03:02|
1669|6900410|510|1|0|444|2|2026-01-15 15:58:03|
1669|6900370|510|1|0|2851|2|2026-01-03 09:35:00|
1680|6002885|240|1|0|444|2|2026-01-14 17:45:08|
1669|6900401|510|1|0|444|2|2026-01-13 17:15:03|
1669|6900409|510|1|0|444|2|2026-01-16 11:13:01|
1669|6001580|810|1|0|444|2|2026-01-17 10:35:02|
3376|6001547|240|1|0|444|2|2026-01-16 10:05:08|
1669|6900377|510|1|0|1347|2|2026-01-05 15:03:01|
1669|6900631|430|1|0|444|2|2026-01-13 11:45:01|
3147|6000341|521|1|0|444|2|2026-01-15 10:30:01|
3129|6000613|240|1|0|444|2|2026-01-21 16:01:11|
1669|6900377|510|3|0|19793|2|2026-01-05 15:03:01|
1669|6900440|510|1|0|444|2|2026-01-28 15:44:01|
1669|6900370|510|3|0|52719|2|2026-01-03 09:35:00|
1680|6002885|240|6|6|8598|2|2026-01-14 17:45:08|
1669|6900345|430|1|0|2198|2|2026-01-03 11:03:02|
1680|6002885|240|1|6|197|2|2026-01-14 17:45:08|
3147|6001761|470|1|0|444|2|2026-01-30 17:29:02|
3147|6000328|850|1|0|444|2|2026-01-21 12:46:09|
1680|6002885|240|3|21|5347|2|2026-01-14 17:45:08|
1669|6001582|810|1|0|444|2|2026-01-17 11:01:00|
1669|6001581|810|1|0|444|2|2026-01-17 10:48:00|
3129|6000603|240|1|0|444|2|2026-01-21 12:03:03|
